miRNA,MI_Score
hsa-let-7a-3p,0.16277657649606514
hsa-let-7a-5p,0.1426244049575609
hsa-let-7b-3p,0.15160766784263702
hsa-let-7b-5p,0.18340129043383468
hsa-let-7c-5p,0.1405203306439109
hsa-let-7d-3p,0.16926131166381264
hsa-let-7d-5p,0.16530999692520032
hsa-let-7e-5p,0.17439750757459027
hsa-let-7f-5p,0.175425799012626
hsa-let-7g-5p,0.17640638570082512
hsa-let-7i-3p,0.14928562367424858
hsa-let-7i-5p,0.15459709394307053
hsa-miR-100-5p,0.16214174278875726
hsa-miR-101-3p,0.15164566653543599
hsa-miR-103a-3p,0.1402605735348863
hsa-miR-103b,0.1402605735348863
hsa-miR-106a-5p,0.18220109734222278
hsa-miR-106b-3p,0.174876181959418
hsa-miR-106b-5p,0.15717678503564514
hsa-miR-107,0.1501675534941187
hsa-miR-10a-5p,0.16549461249208086
hsa-miR-10b-5p,0.1512090156079875
hsa-miR-1180-3p,0.15772581607266334
hsa-miR-1229-3p,0.17655519085379456
hsa-miR-1249,0.13791099947398067
hsa-miR-1254,0.160492690098041
hsa-miR-125a-5p,0.17004066614724733
hsa-miR-125b-5p,0.1537456018632093
hsa-miR-1260a,0.15027302509037188
hsa-miR-1260b,0.18404818032981396
hsa-miR-126-3p,0.1658559288457866
hsa-miR-126-5p,0.13596702785837778
hsa-miR-127-3p,0.14178929372859583
hsa-miR-128-3p,0.1795246200286993
hsa-miR-1301-3p,0.16955491213626672
hsa-miR-1304-3p,0.1749889505545159
hsa-miR-1306-5p,0.16900272819568984
hsa-miR-1307-3p,0.1705031332515201
hsa-miR-1307-5p,0.2012222305553122
hsa-miR-130a-3p,0.16002255830043755
hsa-miR-130b-3p,0.15279283583531145
hsa-miR-130b-5p,0.16495830955481727
hsa-miR-132-3p,0.1433115439014423
hsa-miR-133a-3p,0.19534508743681522
hsa-miR-140-3p,0.16440846346081361
hsa-miR-142-3p,0.1532673878006614
hsa-miR-142-5p,0.17046342896741296
hsa-miR-143-3p,0.17280911924378106
hsa-miR-144-3p,0.1602843299405241
hsa-miR-144-5p,0.16809729225763315
hsa-miR-145-5p,0.16188885175591317
hsa-miR-1468-5p,0.1813751928178129
hsa-miR-146a-5p,0.2280701311672595
hsa-miR-146b-3p,0.19785845668903113
hsa-miR-146b-5p,0.20975023786611136
hsa-miR-148a-3p,0.16927060285811368
hsa-miR-148a-5p,0.1552994447639131
hsa-miR-148b-3p,0.15575016826025578
hsa-miR-148b-5p,0.16301050823789476
hsa-miR-150-5p,0.17394528703943557
hsa-miR-151a-3p,0.17555563645373073
hsa-miR-151a-5p,0.14187525092861453
hsa-miR-151b,0.1541101129732243
hsa-miR-155-5p,0.20042981084776867
hsa-miR-15a-5p,0.12772902437085154
hsa-miR-15b-3p,0.18623222421827634
hsa-miR-15b-5p,0.1727135960304067
hsa-miR-16-2-3p,0.17105350146345932
hsa-miR-16-5p,0.165817078383808
hsa-miR-17-3p,0.18402384128777616
hsa-miR-17-5p,0.17875560761590803
hsa-miR-181a-2-3p,0.1605074420056125
hsa-miR-181a-3p,0.14411182267069345
hsa-miR-181a-5p,0.20889200593611612
hsa-miR-181b-5p,0.1599798615693082
hsa-miR-181c-5p,0.12998118514695944
hsa-miR-182-5p,0.19378546196075863
hsa-miR-183-3p,0.16311297524028978
hsa-miR-183-5p,0.15021742935778537
hsa-miR-185-3p,0.1909950448233695
hsa-miR-185-5p,0.15786655123996685
hsa-miR-186-5p,0.18341878450112148
hsa-miR-18a-3p,0.21541746696808017
hsa-miR-18a-5p,0.15667854147287663
hsa-miR-191-3p,0.16471617205209954
hsa-miR-191-5p,0.21556567408474825
hsa-miR-192-5p,0.2077639659965187
hsa-miR-194-5p,0.16147010360089276
hsa-miR-196b-5p,0.16766036424619069
hsa-miR-197-3p,0.18053103064437348
hsa-miR-1976,0.19722090005682347
hsa-miR-199a-3p,0.17447455746654317
hsa-miR-199a-5p,0.11626952999739437
hsa-miR-199b-5p,0.1503083269969907
hsa-miR-19a-3p,0.162987953628424
hsa-miR-19b-3p,0.1964519672207352
hsa-miR-20a-5p,0.1831532155237836
hsa-miR-20b-5p,0.15154939951421564
hsa-miR-210-3p,0.16170620245966383
hsa-miR-210-5p,0.18964760043917073
hsa-miR-2110,0.1711863094003916
hsa-miR-21-3p,0.15872863608680543
hsa-miR-215-5p,0.20689169690670361
hsa-miR-21-5p,0.15966833303590278
hsa-miR-221-3p,0.1526524442056747
hsa-miR-222-3p,0.14808714787265442
hsa-miR-223-3p,0.14770605901345935
