miRNA,0,1,2,mean_p_value,corrected_p_value
hsa-let-7c-5p,0.0018894839563960975,0.0030956188270682377,0.001222124958351116,0.0020690759139384836,0.023827026114995487
hsa-miR-101-3p,0.00023500701055732665,0.0004368726394499558,0.005687646893140979,0.0021198421810494205,0.023827026114995487
hsa-miR-106b-5p,0.0051177554144779015,0.008457670846137577,0.00447549622749713,0.006016974162704203,0.04569647945188868
hsa-miR-1180-3p,4.0594773290243275e-07,1.034646881996295e-10,3.4293506675287664e-08,1.4678156808864003e-07,1.0311405158226962e-05
hsa-miR-1307-5p,5.790216622923829e-05,2.551145347585667e-05,0.00015295210178332348,7.878857382947281e-05,0.0018449657705068216
hsa-miR-144-3p,0.00020046595855091777,0.0039238881495568464,0.007147681480976459,0.003757345196361407,0.03405851613475985
hsa-miR-144-5p,0.001976134180946892,0.005215016060740798,0.007714305853358138,0.004968485365015276,0.042307405683917956
hsa-miR-146a-5p,2.2950494000402094e-10,3.9591655417248226e-14,1.5162055146677907e-07,5.061669866614617e-08,4.741097441729024e-06
hsa-miR-146b-5p,0.0008037155212381695,1.0452178115204495e-06,0.001663466879700728,0.0008227425395834726,0.011989910559941521
hsa-miR-151a-3p,0.0008434263446820467,0.008620445443083569,0.00346337737303019,0.004309083053598602,0.03783913556441273
hsa-miR-15a-5p,0.0017221656548034813,0.014776712091981963,0.0013192151330136703,0.005939364293266372,0.04569647945188868
hsa-miR-17-3p,2.197695686095052e-05,0.0006672780945909388,0.00725977297963193,0.002649676010361273,0.025422515366394265
hsa-miR-18a-5p,0.0011066849990168236,0.002006532335541743,0.004585597695485647,0.0025662716766814042,0.025422515366394265
hsa-miR-191-5p,1.5524024743000818e-06,2.032317899371685e-06,0.006664235163691118,0.0022226066280215963,0.024021248556694946
hsa-miR-199a-3p,0.0004240677246383808,0.0033087184442238864,0.015760940409346173,0.006497908859402813,0.04805032603926817
hsa-miR-2110,2.1335770529475414e-05,4.920316293047116e-08,0.000246706972659955,8.936398211745362e-05,0.001931636844231113
hsa-miR-215-5p,1.7661238394423379e-06,4.702842247814499e-08,2.6277909296192443e-06,1.4803143971799092e-06,5.942404937250778e-05
hsa-miR-21-5p,0.0011159215277116682,0.006291058794005106,0.010173429010586127,0.005860136444100967,0.04569647945188868
hsa-miR-221-3p,0.007025266685171229,0.012920542917979854,0.0004919192155713933,0.0068125762729074925,0.04908548545351296
hsa-miR-24-3p,9.623978932756561e-10,9.22495085459659e-16,8.395214134577585e-08,2.830484672051553e-08,3.976830964232432e-06
hsa-miR-29c-3p,7.632867102937729e-05,0.003710465778090787,0.004355648194920706,0.002714147548013623,0.025422515366394265
hsa-miR-3074-5p,1.5723824863558827e-07,1.2942571474266795e-13,9.099761426466065e-07,3.557381735693032e-07,1.6660404462162367e-05
hsa-miR-30e-5p,1.4509721820732344e-08,1.756693736855961e-08,1.4629918380746293e-05,4.887331679978528e-06,0.00015259335578599625
hsa-miR-324-5p,4.7756796503419464e-08,3.5798776417442796e-09,1.1563559496661413e-05,3.871632056935526e-06,0.00013599107599986034
hsa-miR-361-3p,5.2621947472241206e-06,0.006672838036822237,0.0003748461190547843,0.0023509821168747483,0.024467628697844603
hsa-miR-361-5p,1.906774085429585e-05,0.0002186519089463489,0.0030219190539857517,0.0010865462345954655,0.013878158723696628
hsa-miR-425-3p,5.715403733016385e-11,2.5047659377435343e-21,3.1575222068270665e-09,1.071558748053245e-09,3.011080082029619e-07
hsa-miR-425-5p,1.7308881042480308e-06,1.7892176888913264e-10,2.8605082543715947e-05,1.0112049856577623e-05,0.00028414860096983115
hsa-miR-5010-3p,0.001067278230529664,0.000393125514678396,0.0005279598099900832,0.0006627878517327145,0.011989910559941521
hsa-miR-503-5p,2.54476909147285e-09,1.2390743021574856e-17,1.0045229387906117e-06,3.3568923596482515e-07,1.6660404462162367e-05
hsa-miR-625-3p,0.0004147465524671949,0.0013486175279566431,0.0007259719062306974,0.0008297786622181785,0.011989910559941521
hsa-miR-625-5p,0.000721178557932076,0.0013905652809732556,0.0004483794123277338,0.0008533744170776884,0.011989910559941521
hsa-miR-636,0.002153235605983564,0.0017186214029520782,0.0013709202736791838,0.0017475924275382755,0.021351020527750234
hsa-miR-6511a-3p,0.0019310411134318007,8.622886592388352e-07,0.0004178416637901795,0.0007832483552937397,0.011989910559941521
hsa-miR-660-5p,0.0014268628587416788,0.006406722822259405,0.009034471621108101,0.005622685767369728,0.04569647945188868
hsa-miR-6741-3p,1.0228445897129457e-05,0.0003404875272110731,0.0020429466955169387,0.0007978875562083804,0.011989910559941521
hsa-miR-6750-3p,9.47250417227375e-06,3.075216252534266e-08,5.0307328958028594e-05,1.9936861764275896e-05,0.0005092961959783206
hsa-miR-6881-3p,0.00312856306514569,1.1038130690158155e-05,1.0142727025176788e-05,0.001049914640953675,0.013878158723696628
hsa-miR-93-3p,0.0001044396860117083,5.6110931790483825e-05,0.0020847270474712693,0.0007484258884244871,0.011989910559941521
