miRNA,MI_Score
hsa-let-7a-3p,0.08138708540393669
hsa-let-7a-5p,0.0010534372631259004
hsa-let-7b-3p,0.0
hsa-let-7b-5p,0.0
hsa-let-7c-5p,0.0
hsa-let-7d-3p,0.05368704522168599
hsa-let-7d-5p,0.0
hsa-let-7e-5p,0.0
hsa-let-7f-5p,0.0
hsa-let-7g-5p,0.0
hsa-let-7i-3p,0.01839915487568433
hsa-let-7i-5p,0.012074783682360923
hsa-miR-100-5p,0.0
hsa-miR-101-3p,0.0
hsa-miR-103a-3p,0.06831868769369898
hsa-miR-103b,0.06831868769369898
hsa-miR-106a-5p,0.0
hsa-miR-106b-3p,0.0
hsa-miR-106b-5p,0.016459892301340595
hsa-miR-107,0.0
hsa-miR-10a-5p,0.0
hsa-miR-10b-5p,0.04593964516695692
hsa-miR-1180-3p,0.06391506889441878
hsa-miR-1229-3p,0.021636078122687863
hsa-miR-1249,0.019594302693815457
hsa-miR-1254,0.0
hsa-miR-125a-5p,0.02185836927239837
hsa-miR-125b-5p,0.0
hsa-miR-1260a,0.037011070513809585
hsa-miR-1260b,0.05532634618795562
hsa-miR-126-3p,0.0
hsa-miR-126-5p,0.0
hsa-miR-127-3p,0.01821482419740139
hsa-miR-128-3p,0.06725927213297833
hsa-miR-1301-3p,0.0
hsa-miR-1304-3p,0.0
hsa-miR-1306-5p,0.0
hsa-miR-1307-3p,0.0
hsa-miR-1307-5p,0.011530329672567952
hsa-miR-130a-3p,0.0
hsa-miR-130b-3p,0.0
hsa-miR-130b-5p,0.018855681995517237
hsa-miR-132-3p,0.012983455992274351
hsa-miR-133a-3p,0.0
hsa-miR-140-3p,0.06202437321627219
hsa-miR-142-3p,0.0
hsa-miR-142-5p,0.0
hsa-miR-143-3p,0.0
hsa-miR-144-3p,0.0
hsa-miR-144-5p,0.0
hsa-miR-145-5p,0.0
hsa-miR-1468-5p,0.07149982160301072
hsa-miR-146a-5p,0.06983133558167332
hsa-miR-146b-3p,0.014282734781440709
hsa-miR-146b-5p,0.027428771517169714
hsa-miR-148a-3p,0.0
hsa-miR-148a-5p,0.014728378440438838
hsa-miR-148b-3p,0.060944404797593776
hsa-miR-148b-5p,0.0
hsa-miR-150-5p,0.0
hsa-miR-151a-3p,0.019522096674029044
hsa-miR-151a-5p,0.015030575650249567
hsa-miR-151b,0.0
hsa-miR-155-5p,0.0
hsa-miR-15a-5p,0.0
hsa-miR-15b-3p,0.0
hsa-miR-15b-5p,0.0
hsa-miR-16-2-3p,0.0
hsa-miR-16-5p,0.0
hsa-miR-17-3p,0.0
hsa-miR-17-5p,0.019148228537874346
hsa-miR-181a-2-3p,0.0
hsa-miR-181a-3p,0.00841841540905719
hsa-miR-181a-5p,0.0
hsa-miR-181b-5p,0.0316024334519458
hsa-miR-181c-5p,0.007096238482041883
hsa-miR-182-5p,0.013493067459515729
hsa-miR-183-3p,0.0
hsa-miR-183-5p,0.0
hsa-miR-185-3p,0.02184234586927758
hsa-miR-185-5p,0.0
hsa-miR-186-5p,0.0
hsa-miR-18a-3p,0.0012668751930009492
hsa-miR-18a-5p,0.036033928256424375
hsa-miR-191-3p,0.019119240121979075
hsa-miR-191-5p,0.018514508544230424
hsa-miR-192-5p,0.014880255540251852
hsa-miR-194-5p,0.0
hsa-miR-196b-5p,0.015755612262383423
hsa-miR-197-3p,0.017328076536459847
hsa-miR-1976,0.0
hsa-miR-199a-3p,0.02453833168420516
hsa-miR-199a-5p,0.0
hsa-miR-199b-5p,0.0
hsa-miR-19a-3p,0.0
hsa-miR-19b-3p,0.0
hsa-miR-20a-5p,0.04238956298907581
hsa-miR-20b-5p,0.0
hsa-miR-210-3p,0.0070430434691690635
hsa-miR-210-5p,0.0
hsa-miR-2110,0.02469973384289048
hsa-miR-21-3p,0.0
hsa-miR-215-5p,0.08782965874485793
hsa-miR-21-5p,0.021963181574791157
hsa-miR-221-3p,0.0
hsa-miR-222-3p,0.010731228995386921
hsa-miR-223-3p,0.0
hsa-miR-22-3p,0.041889491823681624
hsa-miR-22-5p,0.0
hsa-miR-23a-3p,0.0
hsa-miR-23b-3p,0.0
hsa-miR-24-3p,0.1027672128652215
hsa-miR-25-3p,0.0010808323490225646
hsa-miR-25-5p,0.0
hsa-miR-26a-5p,0.024739739941784578
hsa-miR-26b-3p,0.05202028844641404
hsa-miR-26b-5p,0.0
hsa-miR-27a-3p,0.004701125754267288
hsa-miR-27b-3p,0.011355129232867966
hsa-miR-28-3p,0.021776450742899023
hsa-miR-28-5p,0.0
hsa-miR-296-5p,0.0
hsa-miR-29a-3p,0.044235482358510936
hsa-miR-29b-3p,0.0
hsa-miR-29c-3p,0.0
hsa-miR-29c-5p,0.0
hsa-miR-301a-3p,0.0
hsa-miR-3074-5p,0.037264362965151676
hsa-miR-30a-5p,0.0
hsa-miR-30b-5p,0.06018094499416726
hsa-miR-30c-5p,0.04032130194904049
hsa-miR-30d-3p,0.012840394983622438
hsa-miR-30d-5p,0.023845158228733787
hsa-miR-30e-3p,0.03991079718705137
hsa-miR-30e-5p,0.02450079293296703
hsa-miR-3130-3p,0.006861896211409757
hsa-miR-3130-5p,0.031816231750422475
hsa-miR-3158-3p,0.0
hsa-miR-3158-5p,0.0
hsa-miR-3173-5p,0.0748244108473104
hsa-miR-3184-3p,0.0
hsa-miR-3184-5p,0.035826256224155806
hsa-miR-3200-3p,0.01237798630411202
hsa-miR-3200-5p,0.004686682421845667
