"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"AAR2","0.139","0.582","0.145","1","hsa-miR-29b-3p","","","",""
"AARS2","0.106","0.582","0.109","1","hsa-miR-24-3p","","","",""
"ABCB6","0.0364","0.582","0.0364","1","hsa-miR-29b-3p","","","",""
"ABHD2","0.185","0.582","0.400","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"AC005003.1","0.171","0.582","0.182","1","hsa-miR-24-3p","","","",""
"AC007375.1","0.171","0.582","0.182","1","hsa-miR-423-3p","","","",""
"AC068987.1","0.185","0.582","0.400","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
"ACAN","0.0291","0.582","0.145","2","hsa-miR-24-3p","hsa-miR-425-5p","","",""
"ACBD4","0.106","0.582","0.109","1","hsa-miR-24-3p","","","",""
"ACKR2","0.0364","0.582","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","","",""
"ACTBL2","0.0716","0.582","0.0727","1","hsa-miR-215-5p","","","",""
"ACTN2","0.201","0.582","0.218","1","hsa-miR-29b-3p","","","",""
"ACTR3","0.185","0.582","0.400","2","hsa-miR-425-5p","hsa-miR-486-5p","","",""
"ACYP2","0.0364","0.582","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","","",""
"ADA","0.106","0.582","0.109","1","hsa-miR-29b-3p","","","",""
"ADAM12","0.107","0.582","0.291","2","hsa-miR-24-3p","hsa-miR-29b-3p","","",""
"ADAM19","0.0396","0.582","0.279","3","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p","hsa-miR-29b-3p","",""
"ADAMTS10","0.201","0.582","0.218","1","hsa-miR-29b-3p","","","",""
"ADAMTS14","0.171","0.582","0.182","1","hsa-miR-24-3p","","","",""
"ADAMTS7","0.0364","0.582","0.0364","1","hsa-miR-29b-3p","","","",""
"ADAMTSL2","0.0716","0.582","0.0727","1","hsa-miR-24-3p","","","",""
"ADCYAP1R1","0.132","0.582","0.327","2","hsa-miR-24-3p","hsa-miR-29b-3p","","",""
"ADM","0.201","0.582","0.218","1","hsa-miR-24-3p","","","",""
"AGFG2","0.171","0.582","0.382","2","hsa-miR-24-3p","hsa-miR-425-5p","","",""
"AGPAT4","0.201","0.582","0.218","1","hsa-miR-29b-3p","","","",""
"AGPAT9","0.171","0.582","0.182","1","hsa-miR-24-3p","","","",""
"AIFM1","0.145","0.582","0.345","2","hsa-miR-425-5p","hsa-miR-503-5p","","",""
"AIM1","0.106","0.582","0.109","1","hsa-miR-29b-3p","","","",""
"AK1","0.106","0.582","0.109","1","hsa-miR-29b-3p","","","",""
"AKAP5","0.0846","0.582","0.255","2","hsa-miR-24-3p","hsa-miR-29b-3p","","",""
"AL590822.1","0.0716","0.582","0.0727","1","hsa-miR-24-3p","","","",""
"ALKBH6","0.0716","0.582","0.0727","1","hsa-miR-29b-3p","","","",""
"ALKBH8","0.0364","0.582","0.0364","1","hsa-miR-215-5p","","","",""
"AMER1","0.185","0.582","0.400","2","hsa-miR-215-5p","hsa-miR-29b-3p","","",""
"AMPH","0.0364","0.582","0.0364","1","hsa-miR-425-5p","","","",""
"ANGPT4","0.0364","0.582","0.0364","1","hsa-miR-24-3p","","","",""
"ANK3","0.109","0.582","0.412","3","hsa-miR-24-3p","hsa-miR-29b-3p","hsa-miR-425-5p","",""
"ANKRD13B","0.0541","0.582","0.200","2","hsa-miR-29b-3p","hsa-miR-503-5p","","",""
"ANKRD65","0.171","0.582","0.182","1","hsa-miR-24-3p","","","",""
"AP1M2","0.106","0.582","0.109","1","hsa-miR-24-3p","","","",""
"AP3M1","0.199","0.582","0.418","2","hsa-miR-29b-3p","hsa-miR-425-5p","","",""
"AP3M2","0.139","0.582","0.145","1","hsa-miR-215-5p","","","",""
"AP5S1","0.171","0.582","0.182","1","hsa-miR-29b-3p","","","",""
"APLNR","0.106","0.582","0.109","1","hsa-miR-29b-3p","","","",""
"AQR","0.0739","0.582","0.236","2","hsa-miR-24-3p","hsa-miR-425-5p","","",""
"ARF5","0.0364","0.582","0.0364","1","hsa-miR-29b-3p","","","",""
"ARFGAP1","0.0716","0.582","0.0727","1","hsa-miR-423-3p","","","",""
"ARHGAP19","0.0846","0.582","0.255","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"ARHGAP31","0.0637","0.582","0.218","2","hsa-miR-24-3p","hsa-miR-29b-3p","","",""
"ARHGAP36","0.00164","0.582","0.0970","3","hsa-miR-215-5p","hsa-miR-29b-3p","hsa-miR-425-5p","",""
"ARHGAP44","0.0451","0.582","0.182","2","hsa-miR-24-3p","hsa-miR-486-5p","","",""
"ARHGEF10","0.201","0.582","0.218","1","hsa-miR-29b-3p","","","",""
"ARHGEF4","0.201","0.582","0.218","1","hsa-miR-29b-3p","","","",""
"ARHGEF5","0.171","0.582","0.182","1","hsa-miR-24-3p","","","",""
"ARL2","0.106","0.582","0.109","1","hsa-miR-503-5p","","","",""
"ARL5B","0.171","0.582","0.382","2","hsa-miR-29b-3p","hsa-miR-425-5p","","",""
"ARMC8","0.0868","0.582","0.376","3","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-29b-3p","hsa-miR-486-5p","",""
"ARPC4-TTLL3","0.171","0.582","0.182","1","hsa-miR-24-3p","","","",""
"ARSA","0.0364","0.582","0.0364","1","hsa-miR-24-3p","","","",""
"ARSB","0.0222","0.582","0.127","2","hsa-miR-24-3p","hsa-miR-29b-3p","","",""
"ARVCF","0.106","0.582","0.109","1","hsa-miR-29b-3p","","","",""
"ASB4","0.201","0.582","0.218","1","hsa-miR-486-5p","","","",""
"ASB6","0.107","0.582","0.291","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
"ATG4A","0.106","0.582","0.109","1","hsa-miR-24-3p","","","",""
"ATOH1","0.201","0.582","0.218","1","hsa-miR-503-5p","","","",""
"ATP1B1","0.185","0.582","0.400","2","hsa-miR-29b-3p","hsa-miR-425-5p","","",""
"ATP1B3","0.171","0.582","0.182","1","hsa-miR-425-5p","","","",""
"ATP5F1","0.201","0.582","0.218","1","hsa-miR-425-5p","","","",""
"ATP5G3","0.0451","0.582","0.182","2","hsa-miR-29b-3p","hsa-miR-425-5p","","",""
