"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"IRAK1","1.66e-7","0.000585","0.0291","5","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-215-5p","hsa-miR-423-3p","hsa-miR-146b-3p",""
"THOP1","0.00000100","0.00177","0.0222","4","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-425-5p","hsa-miR-484","",""
"AKAP7","0.00000450","0.00398","0.0135","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-484","","",""
"LSM4","0.00000362","0.00398","0.0517","5","hsa-miR-423-3p","hsa-miR-146b-3p","hsa-miR-3173-5p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"FAF1","0.00000896","0.00633","0.0162","3","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-484","","",""
"MED22","0.0000156","0.00689","0.0189","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-425-5p","","",""
"PA2G4","0.0000141","0.00689","0.0404","4","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-484","hsa-miR-423-3p","",""
"PSMD8","0.0000156","0.00689","0.0189","3","hsa-miR-425-5p","hsa-miR-484","hsa-miR-423-3p","","",""
"DGCR6L","0.0000210","0.00798","0.0444","4","hsa-miR-484","hsa-miR-423-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"MKRN2","0.0000248","0.00798","0.0215","3","hsa-miR-484","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"TOP1","0.0000248","0.00798","0.0215","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-484","","",""
"GFOD1","0.0000370","0.0109","0.0242","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-484","","",""
"BRCA1","0.0000420","0.0114","0.0525","4","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-215-5p","hsa-miR-484","",""
"ALAS1","0.0000622","0.0141","0.00808","2","hsa-miR-484","hsa-miR-423-3p","","","",""
"CASP7","0.0000720","0.0141","0.0296","3","hsa-miR-215-5p","hsa-miR-484","hsa-miR-146a-5p","","",""
"FBN1","0.0000720","0.0141","0.0296","3","hsa-miR-215-5p","hsa-miR-29b-3p","hsa-miR-486-5p","","",""
"IL1RAP","0.0000720","0.0141","0.0296","3","hsa-miR-215-5p","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"S100A12","0.0000622","0.0141","0.00808","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","","",""
"GCN1","0.000124","0.0230","0.0350","3","hsa-miR-484","hsa-miR-425-3p","hsa-miR-423-3p","","",""
"AUNIP","0.000186","0.0252","0.0121","2","hsa-miR-24-3p","hsa-miR-484","","","",""
"CUZD1","0.000186","0.0252","0.0121","2","hsa-miR-215-5p","hsa-miR-503-5p","","","",""
"KCNJ14","0.000186","0.0252","0.0121","2","hsa-miR-484","hsa-miR-24-3p","","","",""
"LARP1B","0.000186","0.0252","0.0121","2","hsa-miR-215-5p","hsa-miR-423-3p","","","",""
"LBR","0.000145","0.0252","0.108","5","hsa-miR-24-3p","hsa-miR-484","hsa-miR-4742-3p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"MRPS24","0.000186","0.0252","0.0121","2","hsa-miR-24-3p","hsa-miR-484","","","",""
"PRADC1","0.000186","0.0252","0.0121","2","hsa-miR-215-5p","hsa-miR-484","","","",""
"PPP1R26","0.000195","0.0255","0.0404","3","hsa-miR-215-5p","hsa-miR-484","hsa-miR-4677-3p","","",""
"SMAD2","0.000281","0.0355","0.124","5","hsa-miR-484","hsa-miR-146a-5p","hsa-miR-503-5p","hsa-miR-425-5p","hsa-miR-486-5p",""
"CHSY3","0.000370","0.0373","0.0162","2","hsa-miR-215-5p","hsa-miR-484","","","",""
"MDN1","0.000343","0.0373","0.0485","3","hsa-miR-484","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"NMI","0.000370","0.0373","0.0162","2","hsa-miR-146a-5p","hsa-miR-215-5p","","","",""
"PSMC3IP","0.000370","0.0373","0.0162","2","hsa-miR-215-5p","hsa-miR-484","","","",""
"TROAP","0.000370","0.0373","0.0162","2","hsa-miR-215-5p","hsa-miR-484","","","",""
"WRB","0.000370","0.0373","0.0162","2","hsa-miR-425-5p","hsa-miR-24-3p","","","",""
"ZNF260","0.000347","0.0373","0.0889","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-425-3p","hsa-miR-24-3p","",""
"ABCB10","0.000613","0.0458","0.0202","2","hsa-miR-215-5p","hsa-miR-24-3p","","","",""
"ANLN","0.000613","0.0458","0.0202","2","hsa-miR-503-5p","hsa-miR-215-5p","","","",""
"ATAD1","0.000613","0.0458","0.0202","2","hsa-miR-215-5p","hsa-miR-146b-5p","","","",""
"BIVM","0.000475","0.0458","0.0539","3","hsa-miR-215-5p","hsa-miR-146b-3p","hsa-miR-3173-5p","","",""
"CCDC83","0.000635","0.0458","0.0593","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p","","",""
"CD40","0.000613","0.0458","0.0202","2","hsa-miR-486-5p","hsa-miR-503-5p","","","",""
