"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"AARS2","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"ABHD2","0.0507","0.366","0.200","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"AC068987.1","0.0507","0.366","0.200","2","hsa-miR-215-5p","hsa-miR-503-5p",""
"ACBD4","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"ACKR2","0.0182","0.366","0.0182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ACTBL2","0.0361","0.366","0.0364","1","hsa-miR-215-5p","",""
"ACYP2","0.0182","0.366","0.0182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ADAM19","0.0552","0.366","0.209","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"ADAMTSL2","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"AL590822.1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"ALKBH8","0.0182","0.366","0.0182","1","hsa-miR-215-5p","",""
"ANGPT4","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"AP1M2","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"AP3M2","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"ARFGEF1","0.0695","0.366","0.236","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"ARHGAP19","0.0210","0.366","0.127","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"ARL2","0.0538","0.366","0.0545","1","hsa-miR-503-5p","",""
"ARSA","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"ASB6","0.0274","0.366","0.145","2","hsa-miR-215-5p","hsa-miR-503-5p",""
"ATG4A","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"ATP5J2-PTCD1","0.00859","0.366","0.0818","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"BCL2L12","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"BEST4","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"BET1L","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"BHLHE22","0.0107","0.366","0.0909","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"BLOC1S3","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"BTBD19","0.0712","0.366","0.0727","1","hsa-miR-503-5p","",""
"C12orf43","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"C16orf59","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"C17orf100","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"C17orf78","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"C1orf106","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"C1orf168","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"C21orf33","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"C3orf65","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"C4orf3","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CACNA1I","0.0274","0.366","0.145","2","hsa-miR-215-5p","hsa-miR-503-5p",""
"CAMK2B","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"CARD10","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CCDC134","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"CCDC152","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"CCDC160","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"CCL4","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"CCL4L1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"CCNI2","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"CCT3","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"CD164L2","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"CD28","0.00859","0.366","0.0818","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"CD3D","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CD80","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CDC14A","0.0181","0.366","0.118","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"CDON","0.0423","0.366","0.182","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"CENPP","0.0598","0.366","0.218","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"CHAC1","0.0538","0.366","0.0545","1","hsa-miR-503-5p","",""
"CHI3L1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"CHPF","0.0182","0.366","0.0182","1","hsa-miR-503-5p","",""
"CITED4","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"CLTCL1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"CNTFR","0.0154","0.366","0.109","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"COL26A1","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"COMMD10","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"COMTD1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"CRB3","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CSF1R","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"CSK","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"CTD-2207O23.12","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"CXCL10","0.0361","0.366","0.0364","1","hsa-miR-503-5p","",""
"CXCR5","0.0181","0.366","0.118","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"CXXC1","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"DALRD3","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"DBT","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"DCK","0.0361","0.366","0.0364","1","hsa-miR-215-5p","",""
"DDX49","0.00245","0.366","0.0455","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"DIAPH1","0.0130","0.366","0.100","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"DIAPH2","0.0646","0.366","0.227","2","hsa-miR-215-5p","hsa-miR-503-5p",""
"DIO3","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"DKFZP779L1853","0.0182","0.366","0.0182","1","hsa-miR-215-5p","",""
"DNAH17-AS1","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"DNAJC19","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"DNAL4","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"DND1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
