"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"IL1RAP","0.0000122","0.0234","0.0169","3","hsa-miR-215-5p","hsa-miR-146a-5p","hsa-miR-146b-5p",""
"S100A12","0.0000195","0.0234","0.00462","2","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"ZNF260","0.0000321","0.0256","0.0508","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-425-3p","hsa-miR-24-3p"
"CCDC83","0.000110","0.0279","0.0339","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p",""
"CUZD1","0.0000585","0.0279","0.00693","2","hsa-miR-215-5p","hsa-miR-503-5p","",""
"DECR1","0.000110","0.0279","0.0339","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p",""
"IRAK1","0.0000591","0.0279","0.0277","3","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-215-5p",""
"MRPL10","0.0000955","0.0279","0.0323","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"NMI","0.000117","0.0279","0.00923","2","hsa-miR-146a-5p","hsa-miR-215-5p","",""
"TLL1","0.0000955","0.0279","0.0323","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"ABCB10","0.000194","0.0290","0.0115","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"AKAP7","0.000194","0.0290","0.0115","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"ANLN","0.000194","0.0290","0.0115","2","hsa-miR-503-5p","hsa-miR-215-5p","",""
"ATAD1","0.000194","0.0290","0.0115","2","hsa-miR-215-5p","hsa-miR-146b-5p","",""
"BRCA1","0.000184","0.0290","0.0400","3","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-215-5p",""
"TMTC4","0.000194","0.0290","0.0115","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"PRDM4","0.000207","0.0291","0.0416","3","hsa-miR-215-5p","hsa-miR-3909","hsa-miR-503-5p",""
"ATG4A","0.000290","0.0316","0.0139","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"FAF1","0.000290","0.0316","0.0139","2","hsa-miR-146a-5p","hsa-miR-24-3p","",""
"MCM6","0.000290","0.0316","0.0139","2","hsa-miR-215-5p","hsa-miR-1180-3p","",""
"RFWD2","0.000290","0.0316","0.0139","2","hsa-miR-24-3p","hsa-miR-1180-3p","",""
"WIPI2","0.000257","0.0316","0.0446","3","hsa-miR-3909","hsa-miR-4677-3p","hsa-miR-503-5p",""
"CDC14A","0.000405","0.0347","0.0162","2","hsa-miR-503-5p","hsa-miR-215-5p","",""
"COPS7A","0.000405","0.0347","0.0162","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"HORMAD2","0.000405","0.0347","0.0162","2","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"LSM4","0.000346","0.0347","0.0492","3","hsa-miR-3173-5p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"MED22","0.000405","0.0347","0.0162","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"ZNF738","0.000380","0.0347","0.0508","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-5010-3p",""
"CD300LB","0.000539","0.0403","0.0185","2","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
