"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"AARS2","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"ABCB9","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"ABHD2","0.147","0.597","0.350","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"AC005003.1","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"AC006486.1","0.122","0.597","0.127","1","hsa-miR-3184-5p","","",""
"AC011484.1","0.0318","0.597","0.0318","1","hsa-miR-324-5p","","",""
"AC068987.1","0.147","0.597","0.350","2","hsa-miR-215-5p","hsa-miR-503-5p","",""
"ACBD4","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"ACHE","0.0417","0.597","0.175","2","hsa-miR-3184-5p","hsa-miR-503-5p","",""
"ACKR2","0.0318","0.597","0.0318","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"ACTBL2","0.0628","0.597","0.0636","1","hsa-miR-215-5p","","",""
"ACYP2","0.0318","0.597","0.0318","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"ADAM19","0.159","0.597","0.366","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p","",""
"ADAMTS14","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"ADAMTSL2","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"ADM","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"AGPAT9","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"AK1","0.0929","0.597","0.0955","1","hsa-miR-3184-5p","","",""
"AL020996.1","0.0929","0.597","0.0955","1","hsa-miR-3184-5p","","",""
"AL354993.1","0.205","0.597","0.223","1","hsa-miR-215-5p","","",""
"AL590822.1","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"ALKBH8","0.0318","0.597","0.0318","1","hsa-miR-215-5p","","",""
"AMER1","0.147","0.597","0.350","2","hsa-miR-215-5p","hsa-miR-324-5p","",""
"AMHR2","0.0628","0.597","0.0636","1","hsa-miR-324-5p","","",""
"AMN","0.205","0.597","0.223","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"ANGPT4","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"ANKRD65","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"AP1G1","0.104","0.597","0.286","2","hsa-miR-191-5p","hsa-miR-324-5p","",""
"AP1M2","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"AP3M2","0.122","0.597","0.127","1","hsa-miR-215-5p","","",""
"APPL2","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"ARFGEF1","0.195","0.597","0.414","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"ARHGAP19","0.0658","0.597","0.223","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"ARHGAP19-SLIT1","0.136","0.597","0.334","2","hsa-miR-24-3p","hsa-miR-324-5p","",""
"ARHGAP36","0.0222","0.597","0.127","2","hsa-miR-215-5p","hsa-miR-324-5p","",""
"ARHGEF5","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"ARL2","0.0929","0.597","0.0955","1","hsa-miR-503-5p","","",""
"ARPC4-TTLL3","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"ARSA","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"ARSB","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"ASB14","0.178","0.597","0.191","1","hsa-miR-3184-5p","","",""
"ASB6","0.00931","0.597","0.170","3","hsa-miR-215-5p","hsa-miR-3184-5p","hsa-miR-503-5p",""
"ATG4A","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"ATG9B","0.151","0.597","0.159","1","hsa-miR-324-5p","","",""
"ATOH1","0.178","0.597","0.191","1","hsa-miR-503-5p","","",""
"ATP5J2-PTCD1","0.0282","0.597","0.143","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p","",""
"ATP6V1C2","0.205","0.597","0.223","1","hsa-miR-215-5p","","",""
