"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"IL1RL2","0.00000183","0.00596","0.0254","4","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-6511a-3p","hsa-miR-361-3p",""
"ABCB10","0.000674","0.0884","0.0212","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"AKAP7","0.000674","0.0884","0.0212","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"ANLN","0.000674","0.0884","0.0212","2","hsa-miR-503-5p","hsa-miR-215-5p","","",""
"ATAD1","0.000674","0.0884","0.0212","2","hsa-miR-215-5p","hsa-miR-146b-5p","","",""
"BIVM","0.000547","0.0884","0.0564","3","hsa-miR-215-5p","hsa-miR-324-5p","hsa-miR-3173-5p","",""
"CCDC83","0.000731","0.0884","0.0621","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p","",""
"CDKN3","0.000396","0.0884","0.0508","3","hsa-miR-146a-5p","hsa-miR-215-5p","hsa-miR-6741-3p","",""
"CUZD1","0.000204","0.0884","0.0127","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
"DECR1","0.000731","0.0884","0.0621","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p","",""
"DGCR6L","0.000731","0.0884","0.0621","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-361-3p","",""
"IL1RAP","0.0000832","0.0884","0.0310","3","hsa-miR-215-5p","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"IRAK1","0.000396","0.0884","0.0508","3","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-215-5p","",""
"KIF3B","0.000587","0.0884","0.102","4","hsa-miR-324-5p","hsa-miR-3173-5p","hsa-miR-6750-3p","hsa-miR-3184-5p",""
"MFSD6","0.000457","0.0884","0.0952","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-3074-5p","hsa-miR-361-3p",""
"MRPL10","0.000635","0.0884","0.0593","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"NMI","0.000406","0.0884","0.0169","2","hsa-miR-146a-5p","hsa-miR-215-5p","","",""
"PA2G4","0.000547","0.0884","0.0564","3","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-324-5p","",""
"PPIAL4G","0.000674","0.0884","0.0212","2","hsa-miR-324-5p","hsa-miR-191-5p","","",""
"PSME3","0.000565","0.0884","0.144","5","hsa-miR-24-3p","hsa-miR-324-5p","hsa-miR-26b-3p","hsa-miR-6750-3p","hsa-miR-425-3p"
"RNF26","0.000674","0.0884","0.0212","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"S100A12","0.0000684","0.0884","0.00846","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"TLL1","0.000635","0.0884","0.0593","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"TMTC4","0.000674","0.0884","0.0212","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"TRAP1","0.000468","0.0884","0.0536","3","hsa-miR-1180-3p","hsa-miR-361-3p","hsa-miR-324-5p","",""
"UHRF1","0.000181","0.0884","0.0395","3","hsa-miR-146a-5p","hsa-miR-191-5p","hsa-miR-146b-5p","",""
"ZNF260","0.000419","0.0884","0.0931","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-425-3p","hsa-miR-24-3p",""
"ATG4A","0.00101","0.0995","0.0254","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"FAF1","0.00101","0.0995","0.0254","2","hsa-miR-146a-5p","hsa-miR-24-3p","","",""
"MCM6","0.00101","0.0995","0.0254","2","hsa-miR-215-5p","hsa-miR-1180-3p","","",""
"POLD1","0.00101","0.0995","0.0254","2","hsa-miR-24-3p","hsa-miR-324-5p","","",""
"PPP1R11","0.000990","0.0995","0.163","5","hsa-miR-3184-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-26b-3p","hsa-miR-503-5p"
"RFWD2","0.00101","0.0995","0.0254","2","hsa-miR-24-3p","hsa-miR-1180-3p","","",""
"BRCA1","0.00121","0.114","0.0734","3","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-215-5p","",""
"CDC14A","0.00140","0.114","0.0296","2","hsa-miR-503-5p","hsa-miR-215-5p","","",""
"COPS7A","0.00140","0.114","0.0296","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"DEAF1","0.00140","0.114","0.0296","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"HORMAD2","0.00140","0.114","0.0296","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"MED22","0.00140","0.114","0.0296","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"PRDM4","0.00135","0.114","0.0762","3","hsa-miR-215-5p","hsa-miR-3909","hsa-miR-503-5p","",""
"CD300LB","0.00186","0.129","0.0339","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"DHFR","0.00186","0.129","0.0339","2","hsa-miR-24-3p","hsa-miR-503-5p","","",""
"EGR1","0.00186","0.129","0.0339","2","hsa-miR-215-5p","hsa-miR-191-5p","","",""
"ESD","0.00167","0.129","0.0818","3","hsa-miR-324-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"MKRN2","0.00186","0.129","0.0339","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"TOP1","0.00186","0.129","0.0339","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"WIPI2","0.00167","0.129","0.0818","3","hsa-miR-3909","hsa-miR-4677-3p","hsa-miR-503-5p","",""
"AGL","0.00238","0.144","0.0381","2","hsa-miR-215-5p","hsa-miR-191-5p","","",""
"CLN6","0.00238","0.144","0.0381","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"DTL","0.00238","0.144","0.0381","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"ERBB4","0.00238","0.144","0.0381","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"GFOD1","0.00238","0.144","0.0381","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"LSM4","0.00223","0.144","0.0903","3","hsa-miR-3173-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"WASF2","0.00215","0.144","0.193","5","hsa-miR-146a-5p","hsa-miR-3184-5p","hsa-miR-24-3p","hsa-miR-451b","hsa-miR-6741-3p"
"PPWD1","0.00244","0.145","0.0931","3","hsa-miR-361-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"VANGL2","0.00266","0.155","0.0959","3","hsa-miR-451b","hsa-miR-361-3p","hsa-miR-3173-5p","",""
"PISD","0.00286","0.164","0.154","4","hsa-miR-451b","hsa-miR-324-5p","hsa-miR-503-5p","hsa-miR-191-5p",""
"CASP7","0.00359","0.196","0.0466","2","hsa-miR-215-5p","hsa-miR-146a-5p","","",""
"PARM1","0.00359","0.196","0.0466","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"THOP1","0.00359","0.196","0.0466","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"ACD","0.00846","0.198","0.00846","1","hsa-miR-24-3p","","","",""
"ACSF3","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ACTBL2","0.00429","0.198","0.0508","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"AGO1","0.0139","0.198","0.241","4","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-324-5p","hsa-miR-6511a-3p",""
"AGPAT2","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"ALG10","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ALG5","0.00846","0.198","0.00846","1","hsa-miR-24-3p","","","",""
"ANAPC10","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ANAPC15","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"APC2","0.00764","0.198","0.0677","2","hsa-miR-4677-3p","hsa-miR-361-3p","","",""
"APOF","0.0169","0.198","0.0169","1","hsa-miR-324-5p","","","",""
"ARFGAP2","0.0169","0.198","0.0169","1","hsa-miR-324-5p","","","",""
"ARHGAP19","0.00429","0.198","0.0508","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"ARHGEF10L","0.00846","0.198","0.00846","1","hsa-miR-324-5p","","","",""
"ARHGEF40","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ARID5A","0.00846","0.198","0.00846","1","hsa-miR-324-5p","","","",""
"ARL8A","0.00456","0.198","0.176","4","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-3184-5p","hsa-miR-361-3p",""
"ATF6","0.0155","0.198","0.0973","2","hsa-miR-503-5p","hsa-miR-191-5p","","",""
"ATP5B","0.0130","0.198","0.0889","2","hsa-miR-324-5p","hsa-miR-24-3p","","",""
"ATP5H","0.00846","0.198","0.00846","1","hsa-miR-324-5p","","","",""
"BBOF1","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"BOP1","0.0169","0.198","0.0169","1","hsa-miR-324-5p","","","",""
"BRCA2","0.00429","0.198","0.0508","2","hsa-miR-146a-5p","hsa-miR-215-5p","","",""
"BTN2A2","0.00764","0.198","0.0677","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"BZW2","0.0169","0.198","0.0169","1","hsa-miR-191-5p","","","",""
"C18orf54","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"C9orf163","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"CAPN15","0.0112","0.198","0.226","4","hsa-let-7d-3p","hsa-miR-3184-5p","hsa-miR-24-3p","hsa-miR-3909",""
"CCDC150","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"CCL3","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"CCL3L3","0.00846","0.198","0.00846","1","hsa-miR-215-5p","","","",""
"CCL4","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
