"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA"
"AAR2","0.0182","0.111","0.0182","1","hsa-miR-29b-3p"
"ABCB6","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
"ACPL2","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"ACTN2","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"ADA","0.0136","0.111","0.0136","1","hsa-miR-29b-3p"
"ADAMTS10","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"ADAMTS2","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"ADAMTS7","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
"AGPAT4","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"AIM1","0.0136","0.111","0.0136","1","hsa-miR-29b-3p"
"AK1","0.0136","0.111","0.0136","1","hsa-miR-29b-3p"
"ALKBH6","0.00909","0.111","0.00909","1","hsa-miR-29b-3p"
"AP5S1","0.0227","0.111","0.0227","1","hsa-miR-29b-3p"
"APLNR","0.0136","0.111","0.0136","1","hsa-miR-29b-3p"
"AQP4","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"ARF5","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
"ARHGEF10","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"ARHGEF4","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"ARRDC4","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"ARSB","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"ARVCF","0.0136","0.111","0.0136","1","hsa-miR-29b-3p"
"ASAP2","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"BBS1","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
"BDKRB2","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
"BLMH","0.0227","0.111","0.0227","1","hsa-miR-29b-3p"
"BMP1","0.00909","0.111","0.00909","1","hsa-miR-29b-3p"
"BSND","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"C17orf103","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"C18orf42","0.00909","0.111","0.00909","1","hsa-miR-29b-3p"
"C1orf226","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"C1QTNF6","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
"C5orf15","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"C7orf73","0.0182","0.111","0.0182","1","hsa-miR-29b-3p"
"CA3","0.00909","0.111","0.00909","1","hsa-miR-29b-3p"
"CACFD1","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"CACNA1A","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"CACNG4","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"CASP7","0.0182","0.111","0.0182","1","hsa-miR-29b-3p"
"CCDC28B","0.0182","0.111","0.0182","1","hsa-miR-29b-3p"
"CCNL2","0.0318","0.111","0.0318","1","hsa-miR-29b-3p"
"CD276","0.0227","0.111","0.0227","1","hsa-miR-29b-3p"
"CDC7","0.0227","0.111","0.0227","1","hsa-miR-29b-3p"
"CDCA4","0.0227","0.111","0.0227","1","hsa-miR-29b-3p"
"CDKL2","0.0273","0.111","0.0273","1","hsa-miR-29b-3p"
"CERS1","0.0136","0.111","0.0136","1","hsa-miR-29b-3p"
"CHFR","0.0227","0.111","0.0227","1","hsa-miR-29b-3p"
"CHMP6","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
"CILP2","0.00455","0.111","0.00455","1","hsa-miR-29b-3p"
