"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"MRPS35","0.0000443","0.0233","0.00577","2","hsa-miR-29b-3p","hsa-miR-15b-3p",""
"INF2","0.000829","0.145","0.0231","2","hsa-miR-659-5p","hsa-miR-4742-3p",""
"SLC7A5P2","0.000669","0.145","0.0208","2","hsa-miR-4742-3p","hsa-miR-29b-3p",""
"AQP4","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"COL2A1","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"COL4A6","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"COL6A3","0.00231","0.152","0.00231","1","hsa-miR-29b-3p","",""
"COL7A1","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"DNAJB11","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"MMP24","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"NPAS4","0.00231","0.152","0.00231","1","hsa-miR-146b-3p","",""
"REL","0.00351","0.152","0.118","3","hsa-miR-29b-3p","hsa-miR-4742-3p","hsa-miR-146b-3p"
"SLC30A6","0.00403","0.152","0.0508","2","hsa-miR-15b-3p","hsa-miR-4742-3p",""
"SNAI3","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"TBX21","0.00231","0.152","0.00231","1","hsa-miR-29b-3p","",""
"TCL1A","0.00461","0.152","0.00462","1","hsa-miR-29b-3p","",""
"ABHD15","0.0230","0.170","0.125","2","hsa-miR-15b-3p","hsa-miR-4742-3p",""
"ANGPTL4","0.00921","0.170","0.00923","1","hsa-miR-29b-3p","",""
"BMP1","0.00921","0.170","0.00923","1","hsa-miR-29b-3p","",""
"C12orf29","0.0138","0.170","0.0139","1","hsa-miR-15b-3p","",""
"CALM3","0.0238","0.170","0.127","2","hsa-miR-29b-3p","hsa-miR-4742-3p",""
"CBX2","0.0130","0.170","0.0923","2","hsa-miR-146b-3p","hsa-miR-29b-3p",""
"COL10A1","0.0115","0.170","0.0115","1","hsa-miR-29b-3p","",""
"COL15A1","0.00921","0.170","0.00923","1","hsa-miR-29b-3p","",""
"COL3A1","0.0252","0.170","0.0254","1","hsa-miR-29b-3p","",""
"COL5A2","0.0161","0.170","0.0162","1","hsa-miR-29b-3p","",""
"CRYBG1","0.0229","0.170","0.0231","1","hsa-miR-29b-3p","",""
"CSGALNACT2","0.0115","0.170","0.0115","1","hsa-miR-29b-3p","",""
"CTC1","0.0180","0.170","0.110","2","hsa-miR-29b-3p","hsa-miR-146b-3p",""
"CTPS2","0.0229","0.170","0.0231","1","hsa-miR-4742-3p","",""
"DSC2","0.0161","0.170","0.0162","1","hsa-miR-29b-3p","",""
"DUSP2","0.0103","0.170","0.0820","2","hsa-miR-29b-3p","hsa-miR-4742-3p",""
"EPC1","0.0252","0.170","0.0254","1","hsa-miR-4742-3p","",""
"FBN1","0.0252","0.170","0.0254","1","hsa-miR-29b-3p","",""
"FGA","0.0115","0.170","0.0115","1","hsa-miR-29b-3p","",""
"FXYD2","0.0183","0.170","0.0185","1","hsa-miR-4742-3p","",""
"GATA3","0.0161","0.170","0.0162","1","hsa-miR-29b-3p","",""
"GLRX3","0.0252","0.170","0.0254","1","hsa-miR-29b-3p","",""
"GTDC1","0.00815","0.170","0.0727","2","hsa-miR-15b-3p","hsa-miR-29b-3p",""
"HECW1","0.0229","0.170","0.0231","1","hsa-miR-29b-3p","",""
"HFE2","0.0115","0.170","0.0115","1","hsa-miR-4742-3p","",""
"HLTF","0.0138","0.170","0.0139","1","hsa-miR-4742-3p","",""
"HPGD","0.0161","0.170","0.0162","1","hsa-miR-4742-3p","",""
"IFIH1","0.00921","0.170","0.00923","1","hsa-miR-29b-3p","",""
"IFNG","0.0229","0.170","0.0231","1","hsa-miR-29b-3p","",""
"IL32","0.00691","0.170","0.00693","1","hsa-miR-29b-3p","",""
"IMPDH1","0.0252","0.170","0.0254","1","hsa-miR-29b-3p","",""
"ITGA6","0.0229","0.170","0.0231","1","hsa-miR-29b-3p","",""
"KCNMB3","0.0115","0.170","0.0115","1","hsa-miR-4742-3p","",""
"LAMA2","0.0183","0.170","0.0185","1","hsa-miR-29b-3p","",""
"LAMC2","0.0183","0.170","0.0185","1","hsa-miR-29b-3p","",""
