"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"ABCB5","0.0652","0.198","0.0669","1","hsa-miR-6741-3p","",""
"ABCC1","0.0586","0.198","0.0600","1","hsa-miR-361-3p","",""
"ABHD17C","0.0674","0.198","0.0693","1","hsa-miR-26b-3p","",""
"ACSL6","0.0889","0.198","0.0923","1","hsa-miR-6741-3p","",""
"ADAM22","0.0476","0.198","0.0485","1","hsa-miR-451b","",""
"ADAM9","0.0674","0.198","0.0693","1","hsa-miR-451b","",""
"ADRA2B","0.0782","0.198","0.0808","1","hsa-miR-361-3p","",""
"AGPAT4","0.0630","0.198","0.0646","1","hsa-miR-6750-3p","",""
"AGPAT5","0.0953","0.198","0.0993","1","hsa-miR-6741-3p","",""
"AKAP12","0.0476","0.198","0.0485","1","hsa-miR-451b","",""
"AKR1D1","0.0453","0.198","0.0462","1","hsa-miR-6741-3p","",""
"ALOX15","0.0630","0.198","0.0646","1","hsa-miR-451b","",""
"ANAPC5","0.0138","0.198","0.0139","1","hsa-miR-26b-3p","",""
"ANKRD42","0.106","0.198","0.111","1","hsa-miR-451b","",""
"ANO8","0.0630","0.198","0.0646","1","hsa-miR-26b-3p","",""
"ANP32A","0.0431","0.198","0.0439","1","hsa-miR-361-3p","",""
"AP5Z1","0.0847","0.198","0.0877","1","hsa-miR-451b","",""
"APC2","0.0364","0.198","0.0369","1","hsa-miR-361-3p","",""
"APLN","0.0674","0.198","0.0693","1","hsa-miR-361-3p","",""
"APOC3","0.0889","0.198","0.0923","1","hsa-miR-451b","",""
"APOL1","0.0386","0.198","0.0392","1","hsa-miR-6741-3p","",""
"APOPT1","0.0804","0.198","0.0831","1","hsa-miR-6741-3p","",""
"APTX","0.0868","0.198","0.0900","1","hsa-miR-6741-3p","",""
"ARHGAP15","0.0542","0.198","0.0554","1","hsa-miR-6750-3p","",""
"ARHGAP18","0.0996","0.198","0.104","1","hsa-miR-451b","",""
"ARHGAP21","0.0297","0.198","0.0300","1","hsa-miR-361-3p","",""
"ARHGAP29","0.0804","0.198","0.0831","1","hsa-miR-6741-3p","",""
"ARHGEF17","0.0252","0.198","0.0254","1","hsa-miR-361-3p","",""
"ARMC12","0.0364","0.198","0.0369","1","hsa-miR-451b","",""
"ARRB2","0.0825","0.198","0.0854","1","hsa-miR-361-3p","",""
"ASCC1","0.0652","0.198","0.0669","1","hsa-miR-451b","",""
"ASGR2","0.106","0.198","0.111","1","hsa-miR-451b","",""
"ASXL2","0.106","0.198","0.111","1","hsa-miR-26b-3p","",""
"ATG14","0.0868","0.198","0.0900","1","hsa-miR-6741-3p","",""
"ATG7","0.0652","0.198","0.0669","1","hsa-miR-451b","",""
"ATN1","0.0229","0.198","0.0231","1","hsa-miR-361-3p","",""
"ATOX1","0.0717","0.198","0.0739","1","hsa-miR-6750-3p","",""
"BAG2","0.0630","0.198","0.0646","1","hsa-miR-6750-3p","",""
"BARHL1","0.104","0.198","0.109","1","hsa-miR-26b-3p","",""
"C10orf10","0.0453","0.198","0.0462","1","hsa-miR-361-3p","",""
