,Name,Score_Control,Score_Treatment
0,Familial Retinoblastoma,1.08,4.31
1,Pulmonary Hypertension,4.25,1.7
2,Polycystic Kidney Disease 4 With Or Without Polycystic Liver Disease,0.93,1.85
3,Fibrous Dysplasia,1.15,1.15
4,"Deafness, Autosomal Recessive 59",1.46,1.46
5,Rett Syndrome,1.73,0.82
6,Systemic Lupus Erythematosus,9.31,4.26
7,Atrial Septal Defect 2,1.05,2.1
8,Clear Cell Adenocarcinoma,1.18,1.18
9,Glomerulonephritis,2.05,1.02
10,Epithelial-Stromal Tgfbi Dystrophy,1.06,1.06
11,Velocardiofacial Syndrome,0.95,0.95
12,Eye Disease,7.38,2.95
13,Hypertrophy Of Breast,1.17,1.17
14,Epilepsy,2.46,0.85
15,Tuberculum Sellae Meningioma,1.42,1.42
16,Cutaneous Leishmaniasis,1.67,0.44
17,Adrenal Carcinoma,2.0,1.0
18,Vitreous Disease,2.18,2.18
19,Muscular Atrophy,4.33,0.87
20,Paraganglioma,0.93,0.93
21,Neovascular Glaucoma,1.17,1.17
22,Mixed Cell Type Cancer,1.07,1.07
23,"Neuropathy, Hereditary Sensory And Autonomic, Type Iii",1.12,1.12
24,"Fanconi Anemia, Complementation Group F",2.3,2.3
25,Congenital Nervous System Abnormality,3.55,2.84
26,Neurooculocardiogenitourinary Syndrome,1.5,1.5
27,Multiple Endocrine Neoplasia,1.17,1.17
28,Clear Cell Renal Cell Carcinoma,1.82,0.82
29,"Lissencephaly, X-Linked, 2",1.1,1.1
30,Type 2 Diabetes Mellitus,8.65,4.32
31,Acne,2.06,1.14
32,Leiomyosarcoma,2.06,1.03
33,Lissencephaly,0.87,0.87
34,Rasopathy,2.5,0.83
35,Endosalpingiosis,1.31,1.31
36,Fuchs' Endothelial Dystrophy,0.94,0.94
37,"Vertical Talus, Congenital",1.12,1.12
38,"Hypocalciuric Hypercalcemia, Familial, Type Iii",1.29,1.29
39,Van Maldergem Syndrome 1,1.19,1.19
40,Capillary Hemangioma,2.13,1.13
41,Hyperparathyroidism 2 With Jaw Tumors,2.83,2.83
42,"Multiple Endocrine Neoplasia, Type I",1.84,2.81
43,"Mitochondrial Complex I Deficiency, Nuclear Type 1",1.75,0.87
