,Name,Combined Score
0,Hydrophthalmos,1.2
1,Recessive Dystrophic Epidermolysis Bullosa,1.09
2,"Ceroid Lipofuscinosis, Neuronal, 3",3.51
3,Giardiasis,1.15
4,Communicating Hydrocephalus,1.11
5,Mucolipidosis Ii Alpha/Beta,1.19
6,Filarial Elephantiasis,2.3
7,Krabbe Disease,1.01
8,Colitis,2.95
9,Epilepsy,3.31
10,Hypertrophy Of Breast,2.34
11,Long Qt Syndrome 1,0.9
12,Cerebral Convexity Meningioma,1.39
13,Adrenal Carcinoma,3.0
14,Brachydactyly,0.87
15,Skeletal Muscle Disease,2.83
16,Agammaglobulinemia,0.96
17,Bacterial Pneumonia,1.05
18,Ehlers-Danlos Syndrome,1.85
19,Multiple Endocrine Neoplasia,2.34
20,Clear Cell Renal Cell Carcinoma,2.64
21,Alcohol Use Disorder,0.95
22,Adenomatoid Tumor,1.31
23,Megalocornea,1.18
24,"Ceroid Lipofuscinosis, Neuronal, 13",1.31
25,Leiomyosarcoma,3.09
26,Lissencephaly,1.74
27,Benign Fibrous Mesothelioma,1.33
28,Follicular Adenoma,1.12
29,Thymus Gland Disease,2.0
30,Reticulosarcoma,1.14
31,Acute Proliferative Glomerulonephritis,1.14
32,Diabetic Encephalopathy,1.19
33,Scheie Syndrome,1.06
34,Hyperparathyroidism 2 With Jaw Tumors,5.66
35,Fragile X-Associated Tremor/Ataxia Syndrome,2.0
36,Geographic Tongue,1.33
37,Hypertension,4.09
38,Diphtheria,0.99
39,Heart Disease,8.5
40,Lymphocele,2.62
41,Paget'S Disease Of Bone 2,2.79
42,Autosomal Dominant Alport Syndrome,1.1
43,Nasal Cavity Disease,2.01
44,Left-Sided Gallbladder,3.0
45,Angiocentric Glioma,2.0
46,Bladder Urothelial Carcinoma,1.85
47,Hepatocellular Carcinoma,17.36
48,Meningococcal Meningitis,1.23
49,Hypermanganesemia With Dystonia 1,1.42
50,Patent Ductus Arteriosus,3.6
51,Biotin Deficiency,1.21
52,Specific Developmental Disorder,0.9
53,Retinal Vascular Disease,1.96
54,Urethral Stricture,1.23
55,Fibrous Histiocytoma,1.15
56,Ptosis,0.89
57,Malignant Fibrous Histiocytoma Of Bone,2.84
58,Lung Non-Small Cell Carcinoma,6.34
59,Familial Atrial Fibrillation,1.68
60,"Deafness, Autosomal Dominant 85",5.66
61,"Ceroid Lipofuscinosis, Neuronal, 8",2.76
62,Gallbladder Cancer,2.56
63,Lysosomal Storage Disease,0.93
64,Conjunctival Disease,1.04
65,Developmental And Epileptic Encephalopathy 54,1.36
66,Lymphoblastic Lymphoma,1.08
67,Danubian Endemic Familial Nephropathy,1.17
68,Papillary Carcinoma,1.16
69,Menkes Disease,1.02
70,Neuromuscular Disease,1.62
71,Hereditary Spastic Paraplegia 56,2.44
72,Mumps,2.4
73,Lymphoplasmacytic Lymphoma,1.97
74,Alveolar Periostitis,1.39
75,Frank-Ter Haar Syndrome,1.24
76,Stomatitis,1.14
77,Phenylketonuria,3.6300000000000003
78,Multiple Sclerosis,4.36
79,Nonaka Myopathy,1.15
80,"Craniometaphyseal Dysplasia, Autosomal Dominant",1.18
81,Developmental And Epileptic Encephalopathy 1,5.52
82,Childhood Absence Epilepsy,0.91
83,Muscular Dystrophy,5.91
84,Drug Dependence,1.08
85,Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 3,2.63
86,"Leukemia, Chronic Lymphocytic",5.3
87,West Nile Encephalitis,2.12
88,Plasmacytoma,2.03
89,Colorectal Adenoma,0.88
90,"Melanoma, Cutaneous Malignant 1",4.39
91,Ewing Sarcoma Of Bone,1.39
92,Herpes Simplex,1.02
93,Iron Deficiency Anemia,1.21
94,Marfan Syndrome,2.74
95,Pouchitis,1.5
96,Joubert Syndrome 1,3.87
97,"Maturity-Onset Diabetes Of The Young, Type 14",2.63
98,Relapsing-Remitting Multiple Sclerosis,4.859999999999999
99,Dilated Cardiomyopathy,11.32
100,Diffuse Gastric And Lobular Breast Cancer Syndrome,4.04
101,Hemochromatosis Type 2,1.21
102,Facioscapulohumeral Muscular Dystrophy 1,1.83
103,Oculoauricular Syndrome,1.21
104,Actinic Keratosis,3.25
105,Immunodeficiency 36,2.63
106,Megalencephaly,1.5
107,Nonspecific Interstitial Pneumonia,1.14
108,Impetigo,1.15
109,"Breast-Ovarian Cancer, Familial 1",4.8
110,Pemphigoid,1.11
111,Amino Acid Metabolic Disorder,0.94
112,Valproate Embryopathy,1.29
113,"Cutis Laxa, Autosomal Dominant 1",1.29
114,"Congenital Heart Defects, Multiple Types, 4",2.65
115,Methemoglobinemia And Ambiguous Genitalia,1.23
116,Wolfram Syndrome,1.03
117,Tarp Syndrome,1.14
118,Bone Deterioration Disease,1.05
119,Klippel-Trenaunay-Weber Syndrome,2.09
120,Perivascular Tumor,1.13
121,Body Mass Index Quantitative Trait Locus 11,6.819999999999999
122,Exotropia,1.11
123,Coronary Stenosis,1.08
124,"Leukemia, Chronic Lymphocytic 2",1.34
125,Familial Hypercholesterolemia,0.89
126,Acrocallosal Syndrome,1.06
127,Nodal Marginal Zone Lymphoma,1.21
128,Gallbladder Disease,0.94
129,Bilateral Retinoblastoma,3.72
130,Impotence,1.04
131,Intestinal Schistosomiasis,1.17
132,Neurodegeneration With Brain Iron Accumulation 5,4.3
133,Liver Carcinoma In Situ,2.43
134,Loeys-Dietz Syndrome 2,2.39
135,Lymphadenitis,2.09
136,Silver-Russell Syndrome 1,1.88
137,Hemosiderosis,1.19
138,Tracheal Disease,2.29
139,"Cox Deficiency, Infantile Mitochondrial Myopathy",1.08
140,Vici Syndrome,3.2700000000000005
141,"Anemia, Hypochromic Microcytic, With Iron Overload 1",2.83
142,Dental Pulp Disease,3.3899999999999997
143,Autosomal Recessive Intellectual Developmental Disorder,3.38
144,Leukoplakia,1.31
145,Tumor Predisposition Syndrome 2,2.83
146,Tricuspid Valve Disease,2.2
147,Gastrointestinal Stromal Tumor,7.02
148,Dengue Hemorrhagic Fever,8.88
149,Sleep Disorder,0.92
150,Silo Filler'S Disease,1.2
151,Lice Infestation,1.23
152,Post-Traumatic Stress Disorder,1.01
153,Tuberculosis,2.09
154,Atherosclerosis,4.03
155,Acute Lung Injury,1.2
156,Mouth Disease,0.92
157,Early Myoclonic Encephalopathy,0.93
158,Amenorrhea,1.06
159,Chronic Ethmoiditis,1.29
160,Postural Orthostatic Tachycardia Syndrome,1.19
161,Bacteriuria,1.17
162,Spleen Cancer,1.13
163,Human Papillomavirus Infectious Disease,1.02
164,Spermatogenic Failure 64,2.72
165,Zellweger Syndrome,0.87
166,Eukaryotic Translation Elongation Factor 1 Alpha-1-Like 14,1.5
167,"Arthrogryposis Multiplex Congenita 2, Neurogenic Type",2.12
168,Rhabdoid Meningioma,1.26
169,Chorioamnionitis,2.3
170,Cystitis,2.11
171,Ventricular Septal Defect,1.02
172,Opportunistic Mycosis,1.01
173,Early Infantile Epileptic Encephalopathy,1.62
174,Breast Fibroadenoma,3.3000000000000003
175,Candidiasis,1.15
176,Stickler Syndrome,0.98
177,Growth Delay Due To Insulin-Like Growth Factor I Resistance,2.83
178,Integumentary System Disease,1.8
179,Cystinosis,2.09
180,Fanconi Renotubular Syndrome 1,1.29
181,Pseudoxanthoma Elasticum,1.1
182,Hypogonadotropic Hypogonadism 2 With Or Without Anosmia,2.42
183,Pfeiffer Syndrome,2.0
184,Vitreous Detachment,1.2
185,Peripheral Nervous System Neoplasm,0.93
186,Nephrosclerosis,1.24
187,Oral Leukoplakia,1.5
188,Medulloblastoma Shh Activated And Tp53 Mutant,1.5
189,Cockayne Syndrome B,2.9699999999999998
190,Parkinsonism,1.76
191,"Melanoma, Uveal 1",2.83
192,"Spastic Paraplegia 81, Autosomal Recessive",1.34
