,Name,Score
0,Choroid Plexus Meningioma,1.46
1,Endodermal Sinus Tumor,1.13
2,Hypoplastic Left Heart Syndrome,0.96
3,Coloboma Of Macula,1.61
4,Cerebrotendinous Xanthomatosis,1.14
5,Autosomal Recessive Congenital Ichthyosis,0.89
6,Gastrointestinal Defects And Immunodeficiency Syndrome 1,1.11
7,Pseudopterygium,1.42
8,Peritoneal Mesothelioma,1.16
9,Dupuytren Contracture,1.5
10,Liberfarb Syndrome,2.83
11,Optic Nerve Neoplasm,1.24
12,Acrocallosal Syndrome,1.06
13,Upper Lip Cancer,1.5
14,Supratentorial Meningioma,1.42
15,Cavernous Sinus Meningioma,1.39
16,Chromosome 15q24 Deletion Syndrome,1.29
17,Foramen Magnum Meningioma,1.5
18,Bilateral Retinoblastoma,3.72
19,Adenosquamous Lung Carcinoma,1.36
20,"Cerebellar Ataxia, Deafness, And Narcolepsy, Autosomal Dominant",1.23
21,Unilateral Retinoblastoma,2.51
22,Cerebral Convexity Meningioma,1.39
23,"Periodic Fever, Familial, Autosomal Dominant",1.14
24,Acetyl-Coa Carboxylase-Alpha Deficiency,2.83
25,Familial Glomangioma,1.42
26,Hermaphroditism,1.14
27,Brugada Syndrome 4,1.19
28,"Bartter Syndrome, Type 1, Antenatal",1.14
29,Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome,1.01
30,Skeletal Muscle Disease,2.83
31,Xanthomatosis,1.15
32,Skull Base Cancer,1.24
33,Bardet-Biedl Syndrome 3,1.24
34,"Isolated Growth Hormone Deficiency, Type Ib",1.16
35,Developmental And Epileptic Encephalopathy 89,1.5
36,"Cardiac, Facial, And Digital Anomalies With Developmental Delay",2.83
37,Cerebral Meningioma,1.33
38,"Muscular Dystrophy, Congenital, Megaconial Type",1.24
39,Van Maldergem Syndrome 2,1.31
40,Autosomal Recessive Robinow Syndrome,1.06
41,Supraglottis Squamous Cell Carcinoma,1.5
42,Anterior Cranial Fossa Meningioma,1.33
43,Adenomatoid Tumor,1.31
44,Hailey-Hailey Disease,1.16
45,Nondisjunction,1.26
46,Isolated Anencephaly,2.67
47,Retinal Disease,1.68
48,Microcephaly-Corpus Callosum And Cerebellar Vermis Hypoplasia-Facial Dysmorphism-Intellectual Disability Syndrom,2.83
49,Angiomatous Meningioma,1.33
50,Occipital Lobe Neoplasm,1.21
51,Histiocytosis,1.12
52,Mevalonic Aciduria,1.15
53,Focal Hand Dystonia,1.29
54,Angiodysplasia,1.25
55,Juvenile Myelomonocytic Leukemia,0.92
56,Cakut,1.63
57,Cataract 23,1.27
58,Gastroduodenal Crohn'S Disease,1.24
59,"Deafness, Autosomal Recessive 104",1.29
60,Apert Syndrome,1.21
61,Amenorrhea,1.06
62,Isolated Exencephaly,2.67
63,"Coloboma, Ocular, Autosomal Dominant",2.1
64,Xanthinuria,1.21
65,Strabismus,0.93
66,Leukoencephalopathy With Vanishing White Matter,0.96
67,Myeloproliferative Neoplasm,0.92
68,Capillary Disease,1.1
69,Kuhnt-Junius Degeneration,1.13
70,Diaphragm Disease,1.08
71,Craniorachischisis,1.5
72,Corneal Neovascularization,1.23
73,Lymphohistiocytoid Mesothelioma,1.21
74,Geographic Tongue,1.33
75,Kearns-Sayre Syndrome,1.76
76,Neurilemmoma,1.06
77,Inflammatory Myofibroblastic Tumor,0.99
78,"Brachydactyly, Type B1",1.29
79,Chondroblastoma,1.16
80,"Parkinson Disease 20, Early-Onset",1.23
81,Myoclonus Epilepsy,1.13
82,Liddle Syndrome 1,1.05
83,Chromosome 17q12 Duplication Syndrome,1.41
84,Microvascular Complications Of Diabetes 1,1.07
85,Zellweger Syndrome,0.87
86,Tongue Squamous Cell Carcinoma,0.44
87,"Intellectual Developmental Disorder, Autosomal Dominant 48",2.35
88,"Pancreas, Dorsal, Agenesis Of",1.09
89,"Arthrogryposis Multiplex Congenita 2, Neurogenic Type",2.12
90,Spinal Cancer,1.17
91,Childhood Meningioma,1.42
92,"Charcot-Marie-Tooth Disease, Type 4b1",1.19
93,Rhabdoid Meningioma,1.26
94,Neonatal Diabetes,1.07
95,Endometrial Mixed Adenocarcinoma,1.39
96,Ventricular Septal Defect,1.02
97,Branchiooculofacial Syndrome,2.08
98,Childhood Endodermal Sinus Tumor,1.39
99,Solitary Fibrous Tumor/Hemangiopericytoma,1.33
100,"Thyroid Carcinoma, Familial Medullary",1.1
101,Microcystic Meningioma,1.36
102,Chordoid Meningioma,1.31
103,Otorrhea,1.24
104,Atrophic Glossitis,1.29
105,Intraneural Perineurioma,1.36
106,Schwannomatosis,1.1
107,"Spastic Paraplegia 50, Autosomal Recessive",1.11
108,Biotin Deficiency,1.21
109,Atrial Fibrillation,1.07
110,Atrioventricular Septal Defect,1.01
111,Parameningeal Embryonal Rhabdomyosarcoma,1.21
112,"Meningioma, Familial",1.07
113,Vacterl Association,1.16
114,Chromosome 17q12 Deletion Syndrome,2.23
115,Castration-Resistant Prostate Carcinoma,1.25
116,"Mesothelioma, Malignant",0.96
117,Osteopetrosis,0.99
118,Premature Ovarian Failure 1,1.9
119,Ptosis,0.89
120,Limb Ischemia,1.08
121,Dermoid Cyst Of Ovary,1.42
122,Ocular Motility Disease,1.02
123,Anterior Foramen Magnum Meningioma,1.5
124,Spastic Hemiplegia,1.23
125,Cerebral Falx Meningioma,1.42
126,Familial Atrial Fibrillation,1.68
127,"Mixed Phenotype Acute Leukemia, B/Myeloid",1.29
128,Extraocular Retinoblastoma,2.72
129,Ovarian Dysgenesis 4,2.83
130,Hypotonia-Cystinuria Syndrome,1.05
131,Fanconi Renotubular Syndrome 1,1.29
132,Conotruncal Heart Malformations,2.47
133,Cholesteatoma Of Middle Ear,1.06
134,Spinal Canal And Spinal Cord Meningioma,1.24
135,Generalized Anxiety Disorder,1.09
136,Developmental And Epileptic Encephalopathy 54,1.36
137,Diabetic Polyneuropathy,1.16
138,Corpus Luteum Cyst,1.33
