,Name,Combined Score
0,Signal Transduction,46.52486080569
1,TNFR1 Pathway,17.7241330084153
2,CCL18 Signaling Pathway,24.6540834096044
3,Cytokine Production By Th17 Cells in CF (Mouse Model),12.6990260885649
4,MIF Mediated Glucocorticoid Regulation,10.9861360754463
5,Apoptosis and Survival FAS Signaling Cascades,15.9136414452761
6,Burn Wound Healing,10.9156059076299
7,Beta-Adrenergic Signaling,9.65232833337594
8,ApoE and MiR-146 in Inflammation and Atherosclerosis,10.0983816103076
9,SMAD Signaling Network,11.5682723516804
10,Signaling By Receptor Tyrosine Kinases,20.86533244886931
11,NF-kappaB Pathway,13.2035033381156
12,Ebola Virus Infection in Host,11.1505372597696
13,Chks in Checkpoint Regulation,25.852337136637303
14,Development Dopamine D2 Receptor Transactivation of EGFR,14.5558169048472
15,RHO GTPases Activate KTN1,10.5579291663561
16,Corticotropin-releasing Hormone Signaling Pathway,13.458018292531
17,Prolactin Signaling,34.829375148684974
18,Activation of RAC1,9.87154801320648
19,Development_Glucocorticoid Receptor Signaling,14.218690685195
20,FCERI Mediated Ca+2 Mobilization,10.6020687452728
21,VEGF Signaling Pathway,11.726458080753
22,Intrinsic Pathway For Apoptosis,12.598492155833
23,Interleukin-11 Signaling Pathway,13.8272620535444
24,RhoGDI Pathway,14.7317810445499
25,Acute Viral Myocarditis,14.7644040669552
26,Bacterial Infections in CF Airways,16.7813685145277
27,EPH-Ephrin Signaling,9.4271108822993
28,E-cadherin Signaling in The Nascent Adherens Junction,22.4984253078676
29,GDNF-Family Ligands and Receptor Interactions,12.8274352256541
30,Gene Expression (Transcription),21.5087042331857
31,Base Excision Repair,14.7644040669552
32,Inflammatory Bowel Disease Signaling,9.63854901117474
33,Cytoskeletal Signaling,16.5686639013788
34,PDGFR-beta Signaling Pathway,9.31828372325891
35,Hepatitis C and Hepatocellular Carcinoma,16.8909146097288
36,TGF-Beta Pathway,13.7681826240011
37,IL-2 Gene Expression in Activated and Quiescent T-Cells,10.4890330879658
38,RAC2 GTPase Cycle,9.73002485070617
39,Head and Neck Squamous Cell Carcinoma,11.0609003006388
40,Regulation of Actin Dynamics For Phagocytic Cup Formation,26.5255075635974
41,Innate Immune System,32.1852194670847
42,Mitotic G1 Phase and G1/S Transition,13.3591611402947
43,HIV Life Cycle,10.0243958882277
44,Infectious Disease,35.9890825422478
45,Class I MHC Mediated Antigen Processing and Presentation,11.87873801156
46,Development EGFR Signaling Pathway,13.1016116257949
47,MAPK Pathway,13.6832499499896
48,Cell Cycle Regulation of G1/S Transition (part 1),14.8080790590574
49,Apoptosis and Survival_Regulation of Apoptosis By Mitochondrial Proteins,10.7335737202286
50,Coregulation of Androgen Receptor Activity,26.075406001192498
51,Breast Cancer Pathway,21.852557491371797
52,IL2 Signaling Events Mediated By STAT5,18.9941175414579
53,Cytokine Signaling in Immune System,31.041163808903498
54,ESR-mediated Signaling,15.9035460864156
55,Apoptosis and Survival Anti-apoptotic TNFs/NF-kB/Bcl-2 Pathway,17.5507076884803
56,GPCR Pathway,31.6796138493224
57,TGF-beta Signaling Pathways,16.8654213684546
58,Class I PI3K Signaling Events,11.2725481040508
59,Autophagy,9.56322210059004
60,Colorectal Cancer Metastasis,12.5663172534468
61,Formation of HIV Elongation Complex in The Absence of HIV Tat,29.659542817147
62,Integrins in Angiogenesis,9.97546179730472
63,Death Receptor Signaling Pathway,18.8245770120628
64,Regulation of Activated PAK-2p34 By Proteasome Mediated Degradation,23.8765847380672
65,Transcriptional Regulation By MECP2,9.62898580455032
66,ATF-2 Transcription Factor Network,12.4030786710125
67,"Cell Cycle, Mitotic",12.7959803493087
68,Immune Response IL-23 Signaling Pathway,16.0692747420332
69,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",9.73002485070617
70,Assembly of The Pre-replicative Complex,12.6396257794492
71,TNF Superfamily - Human Ligand-Receptor Interactions and Their Associated Functions,12.3360367905765
72,PI3K-Akt Signaling Pathway,10.5741385119727
73,Regulation of TP53 Activity,13.7476695114444
74,GDNF Signaling,24.16072183132441
75,Apoptotic Pathways in Synovial Fibroblasts,24.3428764620555
76,MTOR Pathway,12.3080675505166
77,MAPK Family Signaling Cascades,10.6933026824928
78,FOXA1 Transcription Factor Network,22.0345245105934
79,Toll-Like Receptor Signaling Pathways,14.2523150792712
80,Oncogene Induced Senescence,17.4843351389941
81,TCR Signaling (Qiagen),9.57302340925396
82,BRCA1 Pathway,9.49854852426514
83,FMLP Pathway,26.0045043058336
84,G-protein Signaling RAC1 in Cellular Process,14.7813305718141
85,Gastrulation,32.3360449291572
86,Development IGF-1 Receptor Signaling,12.1951216608049
87,P53 Signaling,15.2715764212757
88,Interleukin-1 Family Signaling,25.5916436881703
89,Neovascularisation Processes,10.6094311219114
90,Interleukin-1 Induced Activation of NF-kB,10.0983816103076
91,Transcription_NF-kB Signaling Pathway,17.0177316606708
92,PIP3 Activates AKT Signaling,28.8939587532467
93,Signaling By VEGF,10.9186739176746
94,Integrin-mediated Cell Adhesion,9.53847562302062
95,IL 10 Signaling Pathway,11.9446104465902
96,Development VEGF Signaling Via VEGFR2 - Generic Cascades,26.1700166030622
97,Signaling By Rho GTPases,12.5893477090514
98,Cellular Responses to Stimuli,25.8385013410202
99,Interleukin-4 and Interleukin-13 Signaling,15.9136414452761
100,Neuropathic Pain-Signaling in Dorsal Horn Neurons,9.99260791110119
101,Endometrial Cancer,38.2131744690877
102,Endoderm Differentiation,15.1376197571659
103,Fibrin Complement Receptor 3 Signaling Pathway,9.63854901117474
104,Primary Focal Segmental Glomerulosclerosis (FSGS),11.1351563871206
105,TGF-beta Receptor Signaling in Skeletal Dysplasias,12.214771432141
106,Jak-Stat Signaling Pathway,10.0625176467443
107,Translational Control,11.4856908241942
108,Nuclear Events Mediated By NFE2L2,23.618857321189502
109,Proteolysis Putative SUMO-1 Pathway,9.93639416666393
110,NRP1-triggered Signaling Pathways in Pancreatic Cancer,12.8015386648066
111,Host-pathogen Interaction of Human Coronaviruses - Apoptosis,12.6289576265938
112,Validated Targets of C-MYC Transcriptional Repression,9.62898580455032
113,P75(NTR)-mediated Signaling,21.72897146457245
114,Programmed Cell Death,23.1668206449899
115,Clathrin-mediated Endocytosis,10.3511251549482
116,Envelope Proteins and Their Potential Roles in EDMD Physiopathology,11.8909662699986
117,EphB-EphrinB Signaling,9.39055844596932
118,Signaling By WNT,12.8531839441946
119,Nervous System Development,11.6036409371491
120,P75 NTR Receptor-mediated Signalling,11.2968789620482
121,Transcription Androgen Receptor Nuclear Signaling,12.9621203668534
122,Th17 Differentiation,11.9446104465902
123,Regulation of Actin Cytoskeleton,12.5266191052422
124,Cytoskeleton Remodeling Regulation of Actin Cytoskeleton By Rho GTPases,11.1202674596736
125,P73 Transcription Factor Network,10.8445106043331
126,Clock-controlled Autophagy in Bone Metabolism,10.569861024557
127,Integrated Breast Cancer Pathway,9.17695045205223
128,RAC1 GTPase Cycle,9.92921954066684
129,Immune Response IL-2 Activation and Signaling Pathway,10.9156059076299
130,Angiopoietin-like Protein 8 Regulatory Pathway,25.199166206904202
131,Mesodermal Commitment Pathway,12.7505983978325
132,Inhibition of Signaling By Overexpressed EGFR,12.0662483177541
133,Metabolism of Proteins,15.787756628752
134,IL-9 Signaling Pathways,12.3814800925546
135,Toll-like Receptor Signaling Pathway,25.7674675168664
136,Guidance Cues and Growth Cone Motility,10.4898108816902
137,ERK Signaling,26.605261650291297
138,Th17 Cell Differentiation Pathway,15.3326592145528
139,DNA Damage,10.6317130418934
140,Deubiquitination,24.0753102191739
141,DAP12 Interactions,10.956660756398
142,E2F Transcription Factor Network,20.977550061784
143,Ceramide Pathway,9.7702543729469
