,Name,Score
0,TNFR1 Pathway,17.7241330084153
1,Cytokine Production By Th17 Cells in CF (Mouse Model),12.6990260885649
2,MIF Mediated Glucocorticoid Regulation,10.9861360754463
3,Apoptosis and Survival FAS Signaling Cascades,15.9136414452761
4,Burn Wound Healing,10.9156059076299
5,Beta-Adrenergic Signaling,9.65232833337594
6,ApoE and MiR-146 in Inflammation and Atherosclerosis,10.0983816103076
7,SMAD Signaling Network,11.5682723516804
8,NF-kappaB Pathway,13.2035033381156
9,Ebola Virus Infection in Host,11.1505372597696
10,Development Dopamine D2 Receptor Transactivation of EGFR,14.5558169048472
11,Corticotropin-releasing Hormone Signaling Pathway,13.458018292531
12,Development_Glucocorticoid Receptor Signaling,14.218690685195
13,Intrinsic Pathway For Apoptosis,12.598492155833
14,Interleukin-11 Signaling Pathway,13.8272620535444
15,Acute Viral Myocarditis,14.7644040669552
16,Bacterial Infections in CF Airways,16.7813685145277
17,GDNF-Family Ligands and Receptor Interactions,12.8274352256541
18,Gene Expression (Transcription),21.5087042331857
19,Base Excision Repair,14.7644040669552
20,Inflammatory Bowel Disease Signaling,9.63854901117474
21,Hepatitis C and Hepatocellular Carcinoma,16.8909146097288
22,IL-2 Gene Expression in Activated and Quiescent T-Cells,10.4890330879658
23,Head and Neck Squamous Cell Carcinoma,11.0609003006388
24,Mitotic G1 Phase and G1/S Transition,13.3591611402947
25,HIV Life Cycle,10.0243958882277
26,Class I MHC Mediated Antigen Processing and Presentation,11.87873801156
27,Development EGFR Signaling Pathway,13.1016116257949
28,MAPK Pathway,13.6832499499896
29,Cell Cycle Regulation of G1/S Transition (part 1),14.8080790590574
30,Apoptosis and Survival_Regulation of Apoptosis By Mitochondrial Proteins,10.7335737202286
31,IL2 Signaling Events Mediated By STAT5,18.9941175414579
32,ESR-mediated Signaling,15.9035460864156
33,Apoptosis and Survival Anti-apoptotic TNFs/NF-kB/Bcl-2 Pathway,17.5507076884803
34,TGF-beta Signaling Pathways,16.8654213684546
35,Class I PI3K Signaling Events,11.2725481040508
36,Colorectal Cancer Metastasis,12.5663172534468
37,Death Receptor Signaling Pathway,18.8245770120628
38,ATF-2 Transcription Factor Network,12.4030786710125
39,"Cell Cycle, Mitotic",12.7959803493087
40,Immune Response IL-23 Signaling Pathway,16.0692747420332
41,Assembly of The Pre-replicative Complex,12.6396257794492
42,TNF Superfamily - Human Ligand-Receptor Interactions and Their Associated Functions,12.3360367905765
43,PI3K-Akt Signaling Pathway,10.5741385119727
44,Regulation of TP53 Activity,13.7476695114444
45,MTOR Pathway,12.3080675505166
46,MAPK Family Signaling Cascades,10.6933026824928
47,Toll-Like Receptor Signaling Pathways,14.2523150792712
48,Development IGF-1 Receptor Signaling,12.1951216608049
49,P53 Signaling,15.2715764212757
50,Neovascularisation Processes,10.6094311219114
51,Interleukin-1 Induced Activation of NF-kB,10.0983816103076
52,Transcription_NF-kB Signaling Pathway,17.0177316606708
53,IL 10 Signaling Pathway,11.9446104465902
54,Cellular Responses to Stimuli,25.8385013410202
55,Interleukin-4 and Interleukin-13 Signaling,15.9136414452761
56,Neuropathic Pain-Signaling in Dorsal Horn Neurons,9.99260791110119
57,Endoderm Differentiation,15.1376197571659
58,Fibrin Complement Receptor 3 Signaling Pathway,9.63854901117474
59,Primary Focal Segmental Glomerulosclerosis (FSGS),11.1351563871206
60,TGF-beta Receptor Signaling in Skeletal Dysplasias,12.214771432141
61,Jak-Stat Signaling Pathway,10.0625176467443
62,Translational Control,11.4856908241942
63,Proteolysis Putative SUMO-1 Pathway,9.93639416666393
64,NRP1-triggered Signaling Pathways in Pancreatic Cancer,12.8015386648066
65,Host-pathogen Interaction of Human Coronaviruses - Apoptosis,12.6289576265938
66,Programmed Cell Death,23.1668206449899
67,Clathrin-mediated Endocytosis,10.3511251549482
68,Transcription Androgen Receptor Nuclear Signaling,12.9621203668534
69,Th17 Differentiation,11.9446104465902
70,P73 Transcription Factor Network,10.8445106043331
71,Clock-controlled Autophagy in Bone Metabolism,10.569861024557
72,Immune Response IL-2 Activation and Signaling Pathway,10.9156059076299
73,Inhibition of Signaling By Overexpressed EGFR,12.0662483177541
74,Metabolism of Proteins,15.787756628752
75,IL-9 Signaling Pathways,12.3814800925546
76,Toll-like Receptor Signaling Pathway,25.7674675168664
77,DNA Damage,10.6317130418934
78,Th17 Cell Differentiation Pathway,15.3326592145528
79,Ceramide Pathway,9.7702543729469
