,Name,Score
0,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",9.73002485070617
1,PDGFR-beta Signaling Pathway,9.31828372325891
2,Validated Targets of C-MYC Transcriptional Repression,9.62898580455032
3,TGF-Beta Pathway,13.7681826240011
4,Envelope Proteins and Their Potential Roles in EDMD Physiopathology,11.8909662699986
5,DAP12 Interactions,10.956660756398
6,EphB-EphrinB Signaling,9.39055844596932
7,RAC2 GTPase Cycle,9.73002485070617
8,Signaling By WNT,12.8531839441946
9,Nervous System Development,11.6036409371491
10,P75 NTR Receptor-mediated Signalling,11.2968789620482
11,Regulation of Actin Cytoskeleton,12.5266191052422
12,Oncogene Induced Senescence,17.4843351389941
13,Cytoskeleton Remodeling Regulation of Actin Cytoskeleton By Rho GTPases,11.1202674596736
14,TCR Signaling (Qiagen),9.57302340925396
15,BRCA1 Pathway,9.49854852426514
16,Integrated Breast Cancer Pathway,9.17695045205223
17,RAC1 GTPase Cycle,9.92921954066684
18,G-protein Signaling RAC1 in Cellular Process,14.7813305718141
19,RHO GTPases Activate KTN1,10.5579291663561
20,Mesodermal Commitment Pathway,12.7505983978325
21,Activation of RAC1,9.87154801320648
22,Signaling By VEGF,10.9186739176746
23,Integrin-mediated Cell Adhesion,9.53847562302062
24,Signaling By Rho GTPases,12.5893477090514
25,FCERI Mediated Ca+2 Mobilization,10.6020687452728
26,Autophagy,9.56322210059004
27,VEGF Signaling Pathway,11.726458080753
28,Guidance Cues and Growth Cone Motility,10.4898108816902
29,RhoGDI Pathway,14.7317810445499
30,Integrins in Angiogenesis,9.97546179730472
31,EPH-Ephrin Signaling,9.4271108822993
32,Transcriptional Regulation By MECP2,9.62898580455032
33,Cytoskeletal Signaling,16.5686639013788
