Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
PRR11	ENST00000262293.4	proline rich 11 	56	5	2	2	1	1	hsa-miR-4742-3p				-1.02	-1.03	N/A
CAGE1	ENST00000338150.4	cancer antigen 1 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.94	-0.94	N/A
FGF7	ENST00000267843.4	fibroblast growth factor 7 	5	3	1	1	1	1	hsa-miR-4742-3p				-0.78	-0.78	N/A
ZNF300	ENST00000427179.1	zinc finger protein 300 	107	4	1	1	2	2	hsa-miR-4742-3p				-0.74	-0.74	N/A
GLYAT	ENST00000344743.3	glycine-N-acyltransferase 	5	2	1	1	0	1	hsa-miR-4742-3p				-0.67	-0.67	N/A
FBXO36	ENST00000373652.3	F-box protein 36 	5	3	2	1	0	0	hsa-miR-4742-3p				-0.66	-0.66	N/A
AP005482.1	ENST00000400514.2	Uncharacterized protein  	44	4	2	2	0	1	hsa-miR-4742-3p				-0.64	-0.91	N/A
CLIC1	ENST00000375784.3	chloride intracellular channel 1 	129	1	1	0	0	0	hsa-miR-4742-3p				-0.62	-0.63	N/A
PGBD2	ENST00000355360.4	piggyBac transposable element derived 2 	65	2	1	1	0	0	hsa-miR-4742-3p				-0.62	-0.62	N/A
GABPB2	ENST00000368918.3	GA binding protein transcription factor, beta subunit 2 	35	3	0	1	2	2	hsa-miR-4742-3p				-0.62	-0.88	N/A
CCL18	ENST00000004921.3	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.61	-0.61	N/A
AC024257.1	ENST00000598930.1	CDNA FLJ26186 fis, clone ADG04757; Uncharacterized protein  	5	2	1	1	0	1	hsa-miR-4742-3p				-0.59	-0.59	N/A
CXCL10	ENST00000306602.1	chemokine (C-X-C motif) ligand 10 	5	1	1	0	0	1	hsa-miR-4742-3p				-0.59	-0.59	N/A
TMEM123	ENST00000361236.3	transmembrane protein 123 	2135	2	2	0	0	0	hsa-miR-4742-3p				-0.58	-0.59	N/A
TIMM21	ENST00000169551.6	translocase of inner mitochondrial membrane 21 homolog (yeast) 	306	2	0	2	0	0	hsa-miR-4742-3p				-0.58	-0.59	N/A
AP002884.2	ENST00000595053.1	LOC100132686 protein; Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-4742-3p				-0.57	-0.57	N/A
SPR	ENST00000234454.5	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) 	554	1	1	0	0	0	hsa-miR-4742-3p				-0.57	-0.57	N/A
TMEM190	ENST00000291934.3	transmembrane protein 190 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.57	-0.57	N/A
C15orf43	ENST00000340827.3	chromosome 15 open reading frame 43 	23	2	1	0	1	0	hsa-miR-4742-3p				-0.57	-0.57	N/A
RP11-386G21.1	ENST00000522186.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-4742-3p				-0.55	-0.55	N/A
SMIM9	ENST00000369529.1	small integral membrane protein 9 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.55	-0.55	N/A
ZBTB10	ENST00000430430.1	zinc finger and BTB domain containing 10 	113	1	1	0	0	4	hsa-miR-4742-3p				-0.55	-0.56	N/A
LRRC23	ENST00000433346.1	leucine rich repeat containing 23 	202	1	1	0	0	1	hsa-miR-4742-3p				-0.54	-0.62	N/A
