Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
TFRC	ENST00000540528.1	transferrin receptor 	296	1	1	0	0	1	hsa-let-7d-3p				-0.75	-0.81	N/A
GSTK1	ENST00000358406.5	glutathione S-transferase kappa 1 	299	1	1	0	0	0	hsa-let-7d-3p				-0.74	-0.74	N/A
GNAO1	ENST00000262493.6	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O 	8	2	1	1	0	0	hsa-let-7d-3p				-0.73	-0.73	N/A
GSX2	ENST00000503800.1	GS homeobox 2 	5	1	1	0	0	0	hsa-let-7d-3p				-0.72	-0.72	N/A
NKX6-1	ENST00000515820.2	NK6 homeobox 1 	9	1	1	0	0	0	hsa-let-7d-3p				-0.71	-0.71	N/A
SIGLEC6	ENST00000346477.3	sialic acid binding Ig-like lectin 6 	5	2	0	2	0	0	hsa-let-7d-3p				-0.69	-0.69	N/A
PDGFC	ENST00000502773.1	platelet derived growth factor C 	238	1	1	0	0	0	hsa-let-7d-3p				-0.65	-0.65	N/A
ANKAR	ENST00000438402.2	ankyrin and armadillo repeat containing 	5	1	1	0	0	0	hsa-let-7d-3p				-0.65	-0.65	N/A
PARP11	ENST00000427057.2	poly (ADP-ribose) polymerase family, member 11 	75	1	1	0	0	1	hsa-let-7d-3p				-0.65	-0.65	N/A
HMGA2	ENST00000403681.2	high mobility group AT-hook 2 	8021	1	1	0	0	0	hsa-let-7d-3p				-0.59	-0.59	N/A
PRKACB	ENST00000370689.2	protein kinase, cAMP-dependent, catalytic, beta 	344	1	1	0	0	0	hsa-let-7d-3p				-0.55	-0.55	N/A
BEND2	ENST00000380033.4	BEN domain containing 2 	5	1	1	0	0	0	hsa-let-7d-3p				-0.55	-0.55	N/A
NXT2	ENST00000372106.1	nuclear transport factor 2-like export factor 2 	390	1	1	0	0	0	hsa-let-7d-3p				-0.54	-0.54	N/A
GCSAML	ENST00000366488.4	germinal center-associated, signaling and motility-like 	5	1	1	0	0	0	hsa-let-7d-3p				-0.53	-0.53	N/A
NARS	ENST00000256854.5	asparaginyl-tRNA synthetase 	467	1	1	0	0	0	hsa-let-7d-3p				-0.52	-0.67	N/A
KLHL31	ENST00000370905.3	kelch-like family member 31 	16	1	1	0	0	1	hsa-let-7d-3p				-0.52	-0.52	N/A
PTGIS	ENST00000244043.4	prostaglandin I2 (prostacyclin) synthase 	192	1	1	0	0	0	hsa-let-7d-3p				-0.51	-0.51	N/A
ABCA8	ENST00000269080.2	ATP-binding cassette, sub-family A (ABC1), member 8 	21	1	1	0	0	0	hsa-let-7d-3p				-0.51	-0.51	N/A
SH3RF1	ENST00000284637.9	SH3 domain containing ring finger 1 	2747	1	1	0	0	0	hsa-let-7d-3p				-0.50	-0.50	N/A
KANSL1	ENST00000574590.1	KAT8 regulatory NSL complex subunit 1 	5	1	1	0	0	0	hsa-let-7d-3p				-0.48	-0.48	N/A
KCND3	ENST00000369697.1	potassium voltage-gated channel, Shal-related subfamily, member 3 	23	1	1	0	0	1	hsa-let-7d-3p				-0.47	-0.47	N/A
