Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
PLEKHS1	ENST00000354462.3	pleckstrin homology domain containing, family S member 1 	7	11	11	0	0	0	hsa-miR-2110				-2.40	-2.40	N/A
HOXC12	ENST00000243103.3	homeobox C12 	5	2	0	1	1	6	hsa-miR-2110				-1.18	-1.18	N/A
RPH3A	ENST00000415485.3	rabphilin 3A homolog (mouse) 	5	4	2	1	1	1	hsa-miR-2110				-1.08	-1.08	N/A
MED9	ENST00000268711.3	mediator complex subunit 9 	256	7	1	4	2	3	hsa-miR-2110				-1.08	-1.40	N/A
KCNC3	ENST00000376959.2	potassium voltage-gated channel, Shaw-related subfamily, member 3 	5	7	1	1	5	3	hsa-miR-2110				-1.03	-1.04	N/A
SPRR4	ENST00000328051.2	small proline-rich protein 4 	5	2	1	1	0	0	hsa-miR-2110				-0.98	-0.98	N/A
LOXHD1	ENST00000398705.2	lipoxygenase homology domains 1 	5	2	1	1	0	0	hsa-miR-2110				-0.95	-0.95	N/A
PRX	ENST00000291825.7	periaxin 	17	8	0	2	6	3	hsa-miR-2110				-0.88	-0.88	N/A
ELK1	ENST00000247161.3	ELK1, member of ETS oncogene family 	11	4	2	1	1	1	hsa-miR-2110				-0.88	-0.90	N/A
PATL1	ENST00000300146.9	protein associated with topoisomerase II homolog 1 (yeast) 	703	4	1	3	0	0	hsa-miR-2110				-0.85	-0.87	N/A
CALCA	ENST00000331587.4	calcitonin-related polypeptide alpha 	5	1	1	0	0	0	hsa-miR-2110				-0.83	-0.83	N/A
RP11-169F17.1	ENST00000581862.1	Protein LOC400655  	5	3	1	0	2	2	hsa-miR-2110				-0.82	-0.82	N/A
FAM211A	ENST00000409083.3	family with sequence similarity 211, member A 	23	4	2	1	1	2	hsa-miR-2110				-0.82	-0.95	N/A
EFHD1	ENST00000264059.3	EF-hand domain family, member D1 	105	3	0	2	1	0	hsa-miR-2110				-0.78	-0.79	N/A
EGR3	ENST00000519492.1	early growth response 3 	21	4	0	3	1	2	hsa-miR-2110				-0.76	-0.91	N/A
PVRL1	ENST00000264025.3	poliovirus receptor-related 1 (herpesvirus entry mediator C) 	50	3	0	2	1	6	hsa-miR-2110				-0.73	-0.77	N/A
CTD-2616J11.4	ENST00000574814.1	uncharacterized protein LOC147646  	23	3	0	1	2	2	hsa-miR-2110				-0.73	-0.73	N/A
TPD52L3	ENST00000344545.5	tumor protein D52-like 3 	5	2	1	1	0	0	hsa-miR-2110				-0.73	-0.73	N/A
TRMT112	ENST00000535126.1	tRNA methyltransferase 11-2 homolog (S. cerevisiae) 	283	3	0	1	2	0	hsa-miR-2110				-0.73	-0.75	N/A
TNP1	ENST00000236979.2	transition protein 1 (during histone to protamine replacement) 	5	1	1	0	0	0	hsa-miR-2110				-0.72	-0.72	N/A
CXCR3	ENST00000373691.4	chemokine (C-X-C motif) receptor 3 	5	3	1	0	2	0	hsa-miR-2110				-0.72	-0.72	N/A
SLC6A17	ENST00000331565.4	solute carrier family 6 (neutral amino acid transporter), member 17 	5	3	0	1	2	6	hsa-miR-2110				-0.71	-0.71	N/A
RNF39	ENST00000376751.3	ring finger protein 39 	7	4	1	3	0	1	hsa-miR-2110				-0.71	-0.71	N/A
SLN	ENST00000531293.1	sarcolipin 	5	1	1	0	0	0	hsa-miR-2110				-0.71	-0.71	N/A
S100A14	ENST00000476873.1	S100 calcium binding protein A14 	5	2	1	1	0	0	hsa-miR-2110				-0.70	-0.70	N/A
TMEM69	ENST00000372025.4	transmembrane protein 69 	20	2	1	1	0	0	hsa-miR-2110				-0.70	-0.70	N/A
NKX3-1	ENST00000380871.4	NK3 homeobox 1 	240	4	0	2	2	0	hsa-miR-2110				-0.69	-0.69	N/A
ASIC1	ENST00000228468.4	acid-sensing (proton-gated) ion channel 1 	111	3	1	1	1	3	hsa-miR-2110				-0.69	-0.79	N/A
PSME1	ENST00000382708.3	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha) 	1179	1	1	0	0	0	hsa-miR-2110				-0.68	-0.68	N/A
RP13-512J5.1	ENST00000438485.1	Uncharacterized protein  	204	1	1	0	0	0	hsa-miR-2110				-0.68	-0.68	N/A
