Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
AQP9	ENST00000219919.4	aquaporin 9 	5	6	2	3	1	0	hsa-miR-451b				-0.87	-0.87	N/A
TNFAIP8	ENST00000504771.2	tumor necrosis factor, alpha-induced protein 8 	608	5	2	1	2	2	hsa-miR-451b				-0.86	-1.12	N/A
RHOA	ENST00000454011.2	ras homolog family member A 	8507	2	1	1	0	1	hsa-miR-451b				-0.78	-0.78	N/A
RP13-512J5.1	ENST00000438485.1	Uncharacterized protein  	204	2	0	2	0	0	hsa-miR-451b				-0.72	-0.74	N/A
C10orf67	ENST00000323327.4	chromosome 10 open reading frame 67 	5	2	2	0	0	1	hsa-miR-451b				-0.70	-0.70	N/A
UTS2B	ENST00000340524.5	urotensin 2B 	13	2	1	0	1	1	hsa-miR-451b				-0.67	-0.67	N/A
STXBP6	ENST00000396700.1	syntaxin binding protein 6 (amisyn) 	40	2	2	0	0	1	hsa-miR-451b				-0.66	-0.83	N/A
KIAA0101	ENST00000558008.1	KIAA0101 	6821	1	1	0	0	2	hsa-miR-451b				-0.61	-0.67	N/A
SCGB1D2	ENST00000244926.3	secretoglobin, family 1D, member 2 	5	1	0	1	0	1	hsa-miR-451b				-0.58	-0.58	N/A
GPX8	ENST00000296734.6	glutathione peroxidase 8 (putative) 	2107	1	1	0	0	0	hsa-miR-451b				-0.57	-0.58	N/A
DSTN	ENST00000246069.7	destrin (actin depolymerizing factor) 	10116	1	1	0	0	0	hsa-miR-451b				-0.56	-0.56	N/A
SEPHS2	ENST00000542752.1	selenophosphate synthetase 2 	62	1	1	0	0	0	hsa-miR-451b				-0.55	-0.56	N/A
C9orf72	ENST00000380003.3	chromosome 9 open reading frame 72 	25	2	2	0	0	0	hsa-miR-451b				-0.55	-0.55	N/A
CCNYL1	ENST00000295414.3	cyclin Y-like 1 	111	2	1	1	0	0	hsa-miR-451b				-0.54	-0.57	N/A
TMEM14E	ENST00000408960.3	transmembrane protein 14E 	5	1	1	0	0	0	hsa-miR-451b				-0.52	-0.52	N/A
LSM4	ENST00000593829.1	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) 	469	1	1	0	0	0	hsa-miR-451b				-0.52	-0.52	N/A
SLC25A31	ENST00000281154.4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31 	5	1	1	0	0	0	hsa-miR-451b				-0.52	-0.52	N/A
KCNMB3	ENST00000497599.1	potassium large conductance calcium-activated channel, subfamily M beta member 3 	8	3	1	1	1	0	hsa-miR-451b				-0.51	-0.62	N/A
GABRG3	ENST00000333743.6	gamma-aminobutyric acid (GABA) A receptor, gamma 3 	5	1	1	0	0	0	hsa-miR-451b				-0.51	-0.51	N/A
RTFDC1	ENST00000395881.3	replication termination factor 2 domain containing 1 	15783	1	1	0	0	1	hsa-miR-451b				-0.50	-0.51	N/A
VMO1	ENST00000441199.2	vitelline membrane outer layer 1 homolog (chicken) 	5	1	1	0	0	0	hsa-miR-451b				-0.50	-0.50	N/A
NACA2	ENST00000521764.1	nascent polypeptide-associated complex alpha subunit 2 	5	1	0	1	0	0	hsa-miR-451b				-0.49	-0.49	N/A
DYNAP	ENST00000321600.1	dynactin associated protein 	5	1	1	0	0	0	hsa-miR-451b				-0.49	-0.49	N/A
CETN1	ENST00000327228.3	centrin, EF-hand protein, 1 	5	1	0	1	0	2	hsa-miR-451b				-0.49	-0.49	N/A
RHOXF2B	ENST00000371402.2	Rhox homeobox family, member 2B 	5	1	1	0	0	0	hsa-miR-451b				-0.49	-0.49	N/A
FAM71F1	ENST00000315184.5	family with sequence similarity 71, member F1 	5	1	1	0	0	0	hsa-miR-451b				-0.48	-0.48	N/A
ATP6V1G1	ENST00000374050.3	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1 	8219	1	1	0	0	1	hsa-miR-451b				-0.48	-0.58	N/A
TMEM74	ENST00000297459.3	transmembrane protein 74 	5	1	1	0	0	1	hsa-miR-451b				-0.48	-0.52	N/A
TVP23B	ENST00000307767.8	trans-golgi network vesicle protein 23 homolog B (S. cerevisiae) 	5	1	1	0	0	0	hsa-miR-451b				-0.48	-0.48	N/A
DHFR	ENST00000511032.1	dihydrofolate reductase 	5	1	1	0	0	0	hsa-miR-451b				-0.47	-0.47	N/A
YIPF3	ENST00000372422.2	Yip1 domain family, member 3 	616	1	1	0	0	0	hsa-miR-451b				-0.47	-0.50	N/A
SPTSSA	ENST00000298130.4	serine palmitoyltransferase, small subunit A 	27	2	2	0	0	0	hsa-miR-451b				-0.47	-0.95	N/A
RPE	ENST00000429907.1	ribulose-5-phosphate-3-epimerase 	333	2	1	1	0	2	hsa-miR-451b				-0.47	-0.62	N/A
NDNL2	ENST00000332303.4	necdin-like 2 	759	1	1	0	0	0	hsa-miR-451b				-0.47	-0.47	N/A
CHPT1	ENST00000229266.3	choline phosphotransferase 1 	806	2	0	1	1	0	hsa-miR-451b				-0.47	-0.47	N/A
NPTX1	ENST00000306773.4	neuronal pentraxin I 	1876	4	0	3	1	1	hsa-miR-451b				-0.46	-0.50	N/A
FNTA	ENST00000302279.3	farnesyltransferase, CAAX box, alpha 	7	1	1	0	0	0	hsa-miR-451b				-0.46	-0.46	N/A
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	3	2	1	0	3	hsa-miR-451b				-0.46	-0.46	N/A
FEZ2	ENST00000379245.4	fasciculation and elongation protein zeta 2 (zygin II) 	323	1	1	0	0	1	hsa-miR-451b				-0.46	-0.47	N/A
KLRD1	ENST00000381908.3	killer cell lectin-like receptor subfamily D, member 1 	5	2	2	0	0	0	hsa-miR-451b				-0.46	-0.46	N/A
SCO1	ENST00000255390.5	SCO1 cytochrome c oxidase assembly protein 	1776	3	1	1	1	2	hsa-miR-451b				-0.46	-0.50	N/A
C5orf64	ENST00000505642.1	chromosome 5 open reading frame 64 	5	3	0	2	1	2	hsa-miR-451b				-0.45	-0.45	N/A
PGPEP1	ENST00000597431.2	pyroglutamyl-peptidase I 	82	4	0	4	0	1	hsa-miR-451b				-0.45	-0.64	N/A
UBE2E1	ENST00000306627.3	ubiquitin-conjugating enzyme E2E 1 	3195	1	1	0	0	0	hsa-miR-451b				-0.45	-0.45	N/A
C1orf85	ENST00000362007.1	chromosome 1 open reading frame 85 	4649	2	0	2	0	0	hsa-miR-451b				-0.44	-0.44	N/A
VMA21	ENST00000330374.6	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	2162	2	0	2	0	0	hsa-miR-451b				-0.44	-0.45	N/A
ARPC5	ENST00000359856.6	actin related protein 2/3 complex, subunit 5, 16kDa 	677	2	0	2	0	0	hsa-miR-451b				-0.44	-0.46	N/A
