Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ST8SIA5	ENST00000315087.7	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 	7	2	2	0	0	0	hsa-miR-3615				-1.12	-1.12	N/A
INS	ENST00000397262.1	insulin 	5	1	1	0	0	0	hsa-miR-3615				-0.94	-0.94	N/A
KCTD12	ENST00000377474.2	potassium channel tetramerization domain containing 12 	404	2	2	0	0	0	hsa-miR-3615				-0.86	-0.86	N/A
C14orf119	ENST00000319074.4	chromosome 14 open reading frame 119 	6513	1	1	0	0	0	hsa-miR-3615				-0.84	-0.84	N/A
G0S2	ENST00000367029.4	G0/G1switch 2 	5	1	1	0	0	0	hsa-miR-3615				-0.79	-0.79	N/A
PPAP2C	ENST00000269812.3	phosphatidic acid phosphatase type 2C 	421	1	1	0	0	0	hsa-miR-3615				-0.78	-0.78	N/A
DPF3	ENST00000541685.1	D4, zinc and double PHD fingers, family 3 	5	2	1	0	1	0	hsa-miR-3615				-0.76	-0.76	N/A
BCL11B	ENST00000357195.3	B-cell CLL/lymphoma 11B (zinc finger protein) 	73	3	2	0	1	0	hsa-miR-3615				-0.74	-0.74	N/A
FAM149A	ENST00000227065.4	family with sequence similarity 149, member A 	7	1	1	0	0	0	hsa-miR-3615				-0.74	-0.74	N/A
MATK	ENST00000395040.2	megakaryocyte-associated tyrosine kinase 	24	1	1	0	0	0	hsa-miR-3615				-0.73	-0.73	N/A
BTK	ENST00000372880.1	Bruton agammaglobulinemia tyrosine kinase 	5	1	1	0	0	0	hsa-miR-3615				-0.71	-0.71	N/A
C8G	ENST00000224181.3	complement component 8, gamma polypeptide 	7	1	1	0	0	0	hsa-miR-3615				-0.68	-0.68	N/A
SEPT4	ENST00000426861.1	septin 4 	40	1	1	0	0	0	hsa-miR-3615				-0.68	-0.68	N/A
IRX5	ENST00000394636.4	iroquois homeobox 5 	82	1	1	0	0	0	hsa-miR-3615				-0.66	-0.66	N/A
