Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ZNF781	ENST00000358582.4	zinc finger protein 781 	5	4	3	0	1	0	hsa-miR-6511a-3p				-2.89	-2.89	N/A
ZNF780B	ENST00000434248.1	zinc finger protein 780B 	77	3	2	1	0	0	hsa-miR-6511a-3p				-2.46	-2.52	N/A
ZNF780A	ENST00000450241.2	zinc finger protein 780A 	44	3	2	1	0	1	hsa-miR-6511a-3p				-2.39	-2.72	N/A
ZNF30	ENST00000601957.1	zinc finger protein 30 	99	5	5	0	0	0	hsa-miR-6511a-3p				-2.10	-2.10	N/A
IL1RL2	ENST00000264257.2	interleukin 1 receptor-like 2 	8	9	0	0	9	2	hsa-miR-6511b-3p				-1.26	-1.26	N/A
SLC25A20	ENST00000430379.1	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 	6430	2	2	0	0	0	hsa-miR-6511b-3p				-0.96	-0.96	N/A
OR52N2	ENST00000317037.2	olfactory receptor, family 52, subfamily N, member 2 	5	1	1	0	0	0	hsa-miR-6511a-3p				-0.80	-0.80	N/A
ZNF573	ENST00000590414.2	zinc finger protein 573 	12	1	1	0	0	0	hsa-miR-6511a-3p				-0.77	-0.77	N/A
ING3	ENST00000445699.1	inhibitor of growth family, member 3 	339	2	1	1	0	0	hsa-miR-6511a-3p				-0.76	-0.77	N/A
ZNF460	ENST00000360338.3	zinc finger protein 460 	164	4	3	1	0	0	hsa-miR-6511b-3p				-0.75	-0.78	N/A
ZNF594	ENST00000399604.4	zinc finger protein 594 	29	1	1	0	0	1	hsa-miR-6511a-3p				-0.74	-0.74	N/A
KIDINS220	ENST00000256707.3	kinase D-interacting substrate, 220kDa 	87	2	1	0	1	2	hsa-miR-6511b-3p				-0.74	-0.74	N/A
C5AR2	ENST00000595464.1	complement component 5a receptor 2 	5	3	1	0	2	0	hsa-miR-6511a-3p				-0.73	-0.73	N/A
ZNF578	ENST00000421239.2	zinc finger protein 578 	0	2	1	1	0	1	hsa-miR-6511b-3p				-0.73	-0.73	N/A
TSR2	ENST00000375151.4	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae) 	233	2	1	1	0	1	hsa-miR-6511a-3p				-0.72	-0.76	N/A
KHDC1L	ENST00000370388.3	KH homology domain containing 1-like 	5	1	1	0	0	0	hsa-miR-6511a-3p				-0.71	-0.71	N/A
FAM169A	ENST00000380515.3	family with sequence similarity 169, member A 	90	3	1	1	1	1	hsa-miR-6511a-3p				-0.70	-0.74	N/A
KHDC1	ENST00000257765.5	KH homology domain containing 1 	5	1	1	0	0	0	hsa-miR-6511a-3p				-0.69	-0.69	N/A
CDC42SE1	ENST00000439374.2	CDC42 small effector 1 	231	3	1	0	2	0	hsa-miR-6511a-3p				-0.67	-0.79	N/A
AC069547.1	ENST00000595931.1	HCG1745369; PRO3073; Uncharacterized protein  	5	1	1	0	0	1	hsa-miR-6511a-3p				-0.67	-0.67	N/A
PKIB	ENST00000258014.3	protein kinase (cAMP-dependent, catalytic) inhibitor beta 	545	1	1	0	0	0	hsa-miR-6511a-3p				-0.66	-0.66	N/A
