Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Predicted occupancy (low miRNA),Predicted occupancy (high miRNA),Predicted occupancy (transfected miRNA),Cumulative weighted context++ score,Total context++ score,Aggregate PCT,Previous TargetScan publication(s),Total sites,8mer sites,7mer-m8 sites,7mer-A1 sites
C17orf58,ENST00000536693.1,chromosome 17 open reading frame 58 ,48,2.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0,hsa-miR-22-3p,0.068,0.4213,1.5523,-1.07,-1.07,< 0.1,,,,,
CCDC67,ENST00000525646.1,coiled-coil domain containing 67 ,5,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0,hsa-miR-22-3p,0.143,0.7064,1.5813,-0.99,-0.99,0.44,"2009, 2011",,,,
KIAA0040,ENST00000423313.1,KIAA0040 ,15,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1,hsa-miR-22-3p,0.2012,0.8196,2.0464,-0.9,-0.9,0.59,2011,,,,
GRM5,ENST00000418177.2,"glutamate receptor, metabotropic 5 ",5,2.0,1.0,1.0,0.0,2,0.0,1.0,1.0,0,hsa-miR-22-3p,0.3249,1.4475,3.4233,-0.88,-0.88,0.93,2011,,,,
H3F3C,ENST00000340398.3,"H3 histone, family 3C ",7,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1,hsa-miR-22-3p,0.1288,0.5424,1.028,-0.86,-0.91,0.84,"2007, 2009, 2011",,,,
NAA20,ENST00000310450.4,"N(alpha)-acetyltransferase 20, NatB catalytic subunit ",1586,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-22-3p,0.1761,0.6123,0.9211,-0.84,-0.84,0.74,"2005, 2007, 2009, 2011",,,,
PDSS1,ENST00000376203.5,"prenyl (decaprenyl) diphosphate synthase, subunit 1 ",41,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-22-3p,0.152,0.5698,0.9073,-0.81,-0.81,0.87,"2009, 2011",,,,
ZDHHC16,ENST00000345745.5,"zinc finger, DHHC-type containing 16 ",82,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0,hsa-miR-22-3p,0.0655,0.4039,1.3902,-0.8,-0.8,0.81,"2009, 2011",,,,
BATF3,ENST00000243440.1,"basic leucine zipper transcription factor, ATF-like 3 ",212,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-22-3p,0.1388,0.5437,0.9001,-0.79,-0.79,0.80,"2005, 2007, 2009, 2011",,,,
EIF4EBP3,ENST00000310331.2,eukaryotic translation initiation factor 4E binding protein 3 ,54,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-22-3p,0.1877,0.6314,0.9325,-0.78,-0.78,0.85,"2009, 2011",,,,
DDIT4,ENST00000307365.3,DNA-damage-inducible transcript 4 ,2454,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,1,hsa-miR-22-3p,0.1139,0.6027,1.7422,-0.78,-0.98,0.88,"2009, 2011",,,,
FUT9,ENST00000302103.5,"fucosyltransferase 9 (alpha (1,3) fucosyltransferase) ",5,2.0,1.0,1.0,0.0,1,0.0,0.0,1.0,4,hsa-miR-22-3p,0.4028,1.5604,3.7259,-0.77,-0.77,0.95,"2007, 2009, 2011",,,,
LIN7C,ENST00000278193.2,lin-7 homolog C (C. elegans) ,1701,1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0,hsa-miR-22-3p,0.1621,0.6586,1.3305,-0.73,-0.75,0.89,"2005, 2007, 2009, 2011",,,,
H3F3B,ENST00000591890.1,"H3 histone, family 3B (H3.3B) ",336,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,2,hsa-miR-22-3p,0.1056,0.5402,1.4235,-0.72,-1.13,0.92,"2005, 2007, 2009, 2011",,,,
NET1,ENST00000355029.4,neuroepithelial cell transforming 1 ,73,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-22-3p,0.2561,0.7719,1.3144,-0.7,-0.7,0.90,"2005, 2007, 2009, 2011",,,,
OGN,ENST00000262551.4,osteoglycin ,5,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1,hsa-miR-22-3p,0.1802,0.7078,1.4387,-0.7,-0.7,0.76,"2005, 2007, 2009, 2011",,,,
KCNJ6,ENST00000609713.1,"potassium inwardly-rectifying channel, subfamily J, member 6 ",5,,,,,,,,,3,hsa-miR-627-3p,,,,-2.57,-2.57,,,10,8.0,0.0,2.0
XKR4,ENST00000327381.6,"XK, Kell blood group complex subunit-related family, member 4 ",5,,,,,,,,,4,hsa-miR-627-3p,,,,-1.81,-1.81,,,9,3.0,4.0,2.0
XIRP2,ENST00000409195.1,xin actin-binding repeat containing 2 ,5,,,,,,,,,2,hsa-miR-627-3p,,,,-1.72,-1.72,,,3,1.0,0.0,2.0
GRIN2B,ENST00000609686.1,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B ",5,,,,,,,,,8,hsa-miR-627-3p,,,,-1.68,-1.68,,,8,3.0,2.0,3.0
LPP,ENST00000312675.4,LIM domain containing preferred translocation partner in lipoma ,1894,,,,,,,,,6,hsa-miR-627-3p,,,,-1.47,-1.47,,,8,2.0,4.0,2.0
DST,ENST00000312431.6,dystonin ,439,,,,,,,,,4,hsa-miR-627-3p,,,,-1.43,-1.49,,,9,2.0,5.0,2.0
ANKRD12,ENST00000262126.4,ankyrin repeat domain 12 ,11,,,,,,,,,2,hsa-miR-627-3p,,,,-1.41,-2.17,,,4,1.0,2.0,1.0
CDK6,ENST00000265734.4,cyclin-dependent kinase 6 ,1116,,,,,,,,,4,hsa-miR-627-3p,,,,-1.32,-1.56,,,4,2.0,2.0,0.0
ONECUT2,ENST00000491143.2,one cut homeobox 2 ,847,,,,,,,,,4,hsa-miR-627-3p,,,,-1.29,-1.86,,,6,2.0,2.0,2.0
PHIP,ENST00000275034.4,pleckstrin homology domain interacting protein ,668,,,,,,,,,3,hsa-miR-627-3p,,,,-1.28,-1.66,,,3,1.0,1.0,1.0
TTC14,ENST00000412756.2,tetratricopeptide repeat domain 14 ,99,,,,,,,,,3,hsa-miR-627-3p,,,,-1.18,-1.31,,,6,2.0,3.0,1.0
ST8SIA1,ENST00000396037.4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 ",5,,,,,,,,,2,hsa-miR-627-3p,,,,-1.16,-1.16,,,5,2.0,2.0,1.0
CEP350,ENST00000367607.3,centrosomal protein 350kDa ,705,,,,,,,,,2,hsa-miR-627-3p,,,,-1.08,-1.36,,,1,1.0,0.0,0.0
NBEAL1,ENST00000449802.1,neurobeachin-like 1 ,42,,,,,,,,,1,hsa-miR-627-3p,,,,-1.06,-1.17,,,6,1.0,1.0,4.0
MAP1B,ENST00000296755.7,microtubule-associated protein 1B ,259,,,,,,,,,2,hsa-miR-627-3p,,,,-1.04,-1.1,,,2,1.0,1.0,0.0
FCRL4,ENST00000271532.1,Fc receptor-like 4 ,5,,,,,,,,,1,hsa-miR-627-3p,,,,-0.87,-0.87,,,5,3.0,2.0,0.0
CSRNP3,ENST00000314499.7,cysteine-serine-rich nuclear protein 3 ,24,,,,,,,,,4,hsa-miR-627-3p,,,,-0.82,-0.82,,,4,1.0,2.0,1.0
TAOK1,ENST00000261716.3,TAO kinase 1 ,164,,,,,,,,,4,hsa-miR-627-3p,,,,-0.82,-1.4,,,6,3.0,0.0,3.0
RSF1,ENST00000308488.6,remodeling and spacing factor 1 ,216,,,,,,,,,3,hsa-miR-627-3p,,,,-0.8,-0.9,,,1,0.0,1.0,0.0
SAMD5,ENST00000367474.1,sterile alpha motif domain containing 5 ,28,,,,,,,,,2,hsa-miR-627-3p,,,,-0.76,-0.76,,,4,1.0,0.0,3.0
FAM209B,ENST00000371325.1,"family with sequence similarity 209, member B ",5,,,,,,,,,0,hsa-miR-627-3p,,,,-0.76,-0.76,,,1,1.0,0.0,0.0
ZNF286A,ENST00000395894.2,Zinc finger protein 286A  ,19,,,,,,,,,5,hsa-miR-627-3p,,,,-0.72,-0.72,,,3,1.0,1.0,1.0
TMEM232,ENST00000429839.2,transmembrane protein 232 ,5,,,,,,,,,0,hsa-miR-627-3p,,,,-0.72,-0.72,,,2,2.0,0.0,0.0
TMEM196,ENST00000405844.1,transmembrane protein 196 ,5,,,,,,,,,2,hsa-miR-627-3p,,,,-0.7,-0.7,,,2,1.0,0.0,1.0
ZNF616,ENST00000330123.5,zinc finger protein 616 ,45,,,,,,,,,0,hsa-miR-3200-3p,0.0471,0.3345,1.9571,-2.05,-2.05,,,9,1.0,7.0,1.0
ZNF83,ENST00000594682.2,zinc finger protein 83 ,78,,,,,,,,,0,hsa-miR-3200-3p,0.0312,0.2235,1.3501,-1.34,-1.81,,,8,0.0,8.0,0.0
ZNF528,ENST00000391788.2,zinc finger protein 528 ,15,,,,,,,,,3,hsa-miR-3200-3p,0.0259,0.1861,1.1524,-0.91,-0.91,,,4,0.0,4.0,0.0
FAM196A,ENST00000522781.1,"family with sequence similarity 196, member A ",5,,,,,,,,,0,hsa-miR-3200-3p,0.0906,0.5111,1.415,-0.88,-0.88,,,2,2.0,0.0,0.0
ZRANB2,ENST00000254821.6,"zinc finger, RAN-binding domain containing 2 ",4196,,,,,,,,,0,hsa-miR-3200-3p,0.0608,0.3643,1.1914,-0.83,-0.84,,,2,1.0,1.0,0.0
C17orf112,ENST00000441889.1,chromosome 17 open reading frame 112 ,5,,,,,,,,,0,hsa-miR-3200-3p,0.0397,0.2392,0.7854,-0.79,-0.79,,,1,1.0,0.0,0.0
TRIM44,ENST00000299413.5,tripartite motif containing 44 ,4203,,,,,,,,,1,hsa-miR-3200-3p,0.0451,0.2914,1.1304,-0.76,-0.84,,,3,2.0,1.0,0.0
RRAGA,ENST00000380527.1,Ras-related GTP binding A ,3226,,,,,,,,,0,hsa-miR-3200-3p,0.0226,0.1452,0.5498,-0.74,-0.76,,,1,1.0,0.0,0.0
GLYCTK,ENST00000354773.4,glycerate kinase ,3833,,,,,,,,,0,hsa-miR-3200-3p,0.0433,0.2852,1.1918,-0.7,-0.7,,,3,0.0,3.0,0.0
ZNF781,ENST00000358582.4,zinc finger protein 781 ,5,,,,,,,,,0,hsa-miR-6511a-3p,,,,-2.89,-2.89,,,4,3.0,0.0,1.0
ZNF780B,ENST00000434248.1,zinc finger protein 780B ,77,,,,,,,,,0,hsa-miR-6511a-3p,,,,-2.46,-2.52,,,3,2.0,1.0,0.0
ZNF780A,ENST00000450241.2,zinc finger protein 780A ,44,,,,,,,,,1,hsa-miR-6511a-3p,,,,-2.39,-2.72,,,3,2.0,1.0,0.0
ZNF30,ENST00000601957.1,zinc finger protein 30 ,99,,,,,,,,,0,hsa-miR-6511a-3p,,,,-2.1,-2.1,,,5,5.0,0.0,0.0
IL1RL2,ENST00000264257.2,interleukin 1 receptor-like 2 ,8,,,,,,,,,2,hsa-miR-6511b-3p,,,,-1.26,-1.26,,,9,0.0,0.0,9.0
SLC25A20,ENST00000430379.1,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 ",6430,,,,,,,,,0,hsa-miR-6511b-3p,,,,-0.96,-0.96,,,2,2.0,0.0,0.0
OR52N2,ENST00000317037.2,"olfactory receptor, family 52, subfamily N, member 2 ",5,,,,,,,,,0,hsa-miR-6511a-3p,,,,-0.8,-0.8,,,1,1.0,0.0,0.0
ZNF573,ENST00000590414.2,zinc finger protein 573 ,12,,,,,,,,,0,hsa-miR-6511a-3p,,,,-0.77,-0.77,,,1,1.0,0.0,0.0
ING3,ENST00000445699.1,"inhibitor of growth family, member 3 ",339,,,,,,,,,0,hsa-miR-6511a-3p,,,,-0.76,-0.77,,,2,1.0,1.0,0.0
ZNF460,ENST00000360338.3,zinc finger protein 460 ,164,,,,,,,,,0,hsa-miR-6511b-3p,,,,-0.75,-0.78,,,4,3.0,1.0,0.0
ZNF594,ENST00000399604.4,zinc finger protein 594 ,29,,,,,,,,,1,hsa-miR-6511a-3p,,,,-0.74,-0.74,,,1,1.0,0.0,0.0
KIDINS220,ENST00000256707.3,"kinase D-interacting substrate, 220kDa ",87,,,,,,,,,2,hsa-miR-6511b-3p,,,,-0.74,-0.74,,,2,1.0,0.0,1.0
C5AR2,ENST00000595464.1,complement component 5a receptor 2 ,5,,,,,,,,,0,hsa-miR-6511a-3p,,,,-0.73,-0.73,,,3,1.0,0.0,2.0
ZNF578,ENST00000421239.2,zinc finger protein 578 ,0,,,,,,,,,1,hsa-miR-6511b-3p,,,,-0.73,-0.73,,,2,1.0,1.0,0.0
TSR2,ENST00000375151.4,"TSR2, 20S rRNA accumulation, homolog (S. cerevisiae) ",233,,,,,,,,,1,hsa-miR-6511a-3p,,,,-0.72,-0.76,,,2,1.0,1.0,0.0
KHDC1L,ENST00000370388.3,KH homology domain containing 1-like ,5,,,,,,,,,0,hsa-miR-6511a-3p,,,,-0.71,-0.71,,,1,1.0,0.0,0.0
FAM169A,ENST00000380515.3,"family with sequence similarity 169, member A ",90,,,,,,,,,1,hsa-miR-6511a-3p,,,,-0.7,-0.74,,,3,1.0,1.0,1.0
TFRC,ENST00000540528.1,transferrin receptor ,296,,,,,,,,,1,hsa-let-7d-3p,,,,-0.75,-0.81,,,1,1.0,0.0,0.0
GSTK1,ENST00000358406.5,glutathione S-transferase kappa 1 ,299,,,,,,,,,0,hsa-let-7d-3p,,,,-0.74,-0.74,,,1,1.0,0.0,0.0
GNAO1,ENST00000262493.6,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O ",8,,,,,,,,,0,hsa-let-7d-3p,,,,-0.73,-0.73,,,2,1.0,1.0,0.0
GSX2,ENST00000503800.1,GS homeobox 2 ,5,,,,,,,,,0,hsa-let-7d-3p,,,,-0.72,-0.72,,,1,1.0,0.0,0.0
NKX6-1,ENST00000515820.2,NK6 homeobox 1 ,9,,,,,,,,,0,hsa-let-7d-3p,,,,-0.71,-0.71,,,1,1.0,0.0,0.0
ATP6AP2,ENST00000378438.4,"ATPase, H+ transporting, lysosomal accessory protein 2 ",6001,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-148a-3p,0.2838,1.0995,1.7999,-1.26,-1.26,0.96,"2005, 2007, 2009, 2011",,,,
MEOX2,ENST00000262041.5,mesenchyme homeobox 2 ,5,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-148a-3p,0.1812,0.8499,1.7169,-0.97,-0.97,0.96,"2003, 2005, 2007, 2009, 2011",,,,
GLRX5,ENST00000331334.4,glutaredoxin 5 ,6308,1.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0,hsa-miR-148a-3p,0.0575,0.3584,1.2329,-0.92,-0.92,0.58,"2007, 2011",,,,
C5orf30,ENST00000319933.2,chromosome 5 open reading frame 30 ,889,2.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-152-3p,0.2311,0.8907,1.6139,-0.8,-0.91,0.69,"2007, 2009, 2011",,,,
SNN,ENST00000329565.5,stannin ,663,2.0,1.0,1.0,0.0,0,0.0,0.0,0.0,3,hsa-miR-148a-3p,0.1837,0.8482,1.8756,-0.79,-0.81,0.97,"2003, 2005, 2007, 2009, 2011",,,,
GADD45A,ENST00000370986.4,"growth arrest and DNA-damage-inducible, alpha ",689,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-148a-3p,0.1325,0.543,1.0175,-0.79,-0.79,0.64,"2005, 2007, 2009, 2011",,,,
ARL8B,ENST00000419534.2,ADP-ribosylation factor-like 8B ,664,1.0,0.0,1.0,0.0,2,0.0,2.0,0.0,0,hsa-miR-148a-3p,0.076,0.4816,1.7612,-0.77,-0.79,0.58,"2007, 2011",,,,
NPTN,ENST00000345330.4,neuroplastin ,2918,2.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-148a-3p,0.118,0.5838,1.441,-0.76,-0.77,0.89,"2007, 2009, 2011",,,,
NPEPL1,ENST00000356091.6,aminopeptidase-like 1 ,134,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,hsa-miR-148a-3p,0.1604,0.5861,0.92,-0.75,-0.75,0.90,"2005, 2007, 2009, 2011",,,,
