Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	10	8	0	2	3	hsa-miR-627-3p				-2.57	-2.57	N/A
XKR4	ENST00000327381.6	XK, Kell blood group complex subunit-related family, member 4 	5	9	3	4	2	4	hsa-miR-627-3p				-1.81	-1.81	N/A
XIRP2	ENST00000409195.1	xin actin-binding repeat containing 2 	5	3	1	0	2	2	hsa-miR-627-3p				-1.72	-1.72	N/A
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	8	3	2	3	8	hsa-miR-627-3p				-1.68	-1.68	N/A
LPP	ENST00000312675.4	LIM domain containing preferred translocation partner in lipoma 	1894	8	2	4	2	6	hsa-miR-627-3p				-1.47	-1.47	N/A
DST	ENST00000312431.6	dystonin 	439	9	2	5	2	4	hsa-miR-627-3p				-1.43	-1.49	N/A
ANKRD12	ENST00000262126.4	ankyrin repeat domain 12 	11	4	1	2	1	2	hsa-miR-627-3p				-1.41	-2.17	N/A
CDK6	ENST00000265734.4	cyclin-dependent kinase 6 	1116	4	2	2	0	4	hsa-miR-627-3p				-1.32	-1.56	N/A
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	6	2	2	2	4	hsa-miR-627-3p				-1.29	-1.86	N/A
PHIP	ENST00000275034.4	pleckstrin homology domain interacting protein 	668	3	1	1	1	3	hsa-miR-627-3p				-1.28	-1.66	N/A
TTC14	ENST00000412756.2	tetratricopeptide repeat domain 14 	99	6	2	3	1	3	hsa-miR-627-3p				-1.18	-1.31	N/A
ST8SIA1	ENST00000396037.4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 	5	5	2	2	1	2	hsa-miR-627-3p				-1.16	-1.16	N/A
CEP350	ENST00000367607.3	centrosomal protein 350kDa 	705	1	1	0	0	2	hsa-miR-627-3p				-1.08	-1.36	N/A
NBEAL1	ENST00000449802.1	neurobeachin-like 1 	42	6	1	1	4	1	hsa-miR-627-3p				-1.06	-1.17	N/A
MAP1B	ENST00000296755.7	microtubule-associated protein 1B 	259	2	1	1	0	2	hsa-miR-627-3p				-1.04	-1.10	N/A
FCRL4	ENST00000271532.1	Fc receptor-like 4 	5	5	3	2	0	1	hsa-miR-627-3p				-0.87	-0.87	N/A
CSRNP3	ENST00000314499.7	cysteine-serine-rich nuclear protein 3 	24	4	1	2	1	4	hsa-miR-627-3p				-0.82	-0.82	N/A
TAOK1	ENST00000261716.3	TAO kinase 1 	164	6	3	0	3	4	hsa-miR-627-3p				-0.82	-1.40	N/A
