Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
SNX16	ENST00000353788.4	sorting nexin 16 	156	1	0	0	1	2	2	0	0	0	hsa-miR-30b-5p	0.0247	0.1691	0.8075	-1.08	-1.20	0.78	2005, 2007, 2009, 2011
ANKRA2	ENST00000296785.3	ankyrin repeat, family A (RFXANK-like), 2 	134	2	1	1	0	1	0	1	0	0	hsa-miR-30b-5p	0.0396	0.2618	1.1343	-1.03	-1.09	0.65	2005, 2007, 2011
MKRN3	ENST00000314520.3	makorin ring finger protein 3 	18	3	2	1	0	0	0	0	0	0	hsa-miR-30b-5p	0.0636	0.4128	1.6384	-0.96	-0.96	0.90	2005, 2007, 2009, 2011
LHX8	ENST00000294638.5	LIM homeobox 8 	18	2	2	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0518	0.3257	1.1672	-0.94	-0.94	0.98	2005, 2007, 2009, 2011
KLHL20	ENST00000209884.4	kelch-like family member 20 	324	2	2	0	0	0	0	0	0	1	hsa-miR-30e-5p	0.0702	0.4189	1.3867	-0.85	-0.96	> 0.99	2003, 2005, 2007, 2009, 2011
EED	ENST00000327320.4	embryonic ectoderm development 	142	2	2	0	0	0	0	0	0	1	hsa-miR-30b-5p	0.0539	0.2971	0.7708	-0.84	-0.91	> 0.99	2003, 2005, 2007, 2009, 2011
DLGAP1	ENST00000400145.2	discs, large (Drosophila) homolog-associated protein 1 	8	2	2	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0259	0.1768	0.8345	-0.82	-0.82	0.64	2011
MTDH	ENST00000336273.3	metadherin 	5192	4	2	1	1	0	0	0	0	0	hsa-miR-30e-5p	0.0619	0.4077	1.7324	-0.82	-0.98	> 0.99	2007, 2009, 2011
B3GNT5	ENST00000326505.3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 	57	3	3	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0879	0.5523	1.9829	-0.82	-0.82	0.99	2005, 2007, 2009, 2011
TMEM181	ENST00000367090.3	transmembrane protein 181 	924	2	1	0	1	1	0	0	1	0	hsa-miR-30b-5p	0.0668	0.4173	1.6464	-0.75	-0.75	> 0.99	2009, 2011
